document_post_id	document_title	old_attachment_type	new_attachment_type	refinement_reason
1704	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением анонимного письма за подписью “Г.”	list	letter|list	explicit письмо marker; explicit list/opis marker
2083	Спецсообщение Г.Г. Ягоды И.В. Сталину об аресте троцкистов	memo	memo_note	explicit записка marker
3391	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением заявления М.М. Харитонова И.В. Сталину	unknown_attachment	statement	explicit заявление marker
4203	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением заявления М.С. Голендо в ЦК ВКП(б) от 1 июля 1935 г. и заметок из газеты “Правда”.	interrogation_protocol|reference_note|theses	interrogation_protocol|statement|reference_note|theses	explicit допрос marker; explicit заявление marker; explicit справка marker; explicit тезисы marker
4772	Спецсообщение Г.Г. Ягоды И.В. Сталину об обыске и аресте С.В. Мрачковского с приложением письма С.В. Мрачковского К.Е. Ворошилову	reference_note	letter|reference_note	explicit письмо marker; explicit справка marker
5113	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением протокола очной ставки между Г.Е. Зиновьевым и В.Д. Вуйовичем	interrogation_protocol	interrogation_protocol|confrontation_protocol	explicit очная ставка marker; explicit допрос marker
5259	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением копии заявления ссыльного троцкиста К.И. Грюнштейна	unknown_attachment	statement	explicit заявление marker
5265	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением заявления и тюремных записок Г.Е. Зиновьева	interrogation_protocol|memo|reference_note	interrogation_protocol|statement|memo_note|reference_note	explicit допрос marker; explicit заявление marker; explicit записка marker; explicit справка marker
5360	Спецсообщение Г.Е. Прокофьева И.В. Сталину с приложением описи изъятого архива Троцкого	interrogation_protocol|reference_note	interrogation_protocol|reference_note|list	explicit допрос marker; explicit справка marker; explicit list/opis marker
5404	Спецсообщение Г.Е. Прокофьева И.В. Сталину с приложением протокола допроса М.П. Жакова	interrogation_protocol|memo	interrogation_protocol|memo_note	explicit допрос marker; explicit записка marker
5446	Спецсообщение Г.Г. Ягоды И.В. Сталину с предложением о репрессировании троцкистов	memo|reference_note	memo_note|reference_note	explicit записка marker; explicit справка marker
5550	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением протокола допроса Ю.П. Гавена	interrogation_protocol|memo|list	interrogation_protocol|memo_note|list	explicit допрос marker; explicit записка marker; explicit list/opis marker
5612	Спецсообщение Г.Е. Прокофьева И.В. Сталину об аресте Г.Л. Шкловского	memo	memo_note	explicit записка marker
5629	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением протокола допроса И.Н. Смирнова	interrogation_protocol|memo	interrogation_protocol|memo_note	explicit допрос marker; explicit записка marker
5639	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением протокола допроса М.П. Жакова и двух писем	interrogation_protocol|memo|list	interrogation_protocol|letter|memo_note|list	explicit допрос marker; explicit письмо marker; explicit записка marker; explicit list/opis marker
5641	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением протокола допроса М.Н. Яковлева	interrogation_protocol|memo	interrogation_protocol|memo_note	explicit допрос marker; explicit записка marker
5654	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением протокола допроса Е.А. Дрейцера	interrogation_protocol|memo|reference_note	interrogation_protocol|memo_note|reference_note	explicit допрос marker; explicit записка marker; explicit справка marker
5664	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением протокола допроса Е.А. Дрейцера	interrogation_protocol|memo	interrogation_protocol|memo_note	explicit допрос marker; explicit записка marker
5693	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением заявления Г.Е. Зиновьева	reference_note	statement|reference_note	explicit заявление marker; explicit справка marker
5700	Спецсообщение Я.С. Агранова И.В. Сталину с приложением протокола допроса И.И. Рейнгольда	interrogation_protocol|memo|theses	interrogation_protocol|memo_note|theses	explicit допрос marker; explicit записка marker; explicit тезисы marker
5708	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением заявлений Г.М. Аркуса И.В. Сталину от 21 июля 1936 г. и Н.И. Ежову без даты, не позднее 26 июля 1936 г.	draft_project	statement|draft_project	explicit заявление marker; explicit draft project marker
5712	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением протокола допроса К.Б. Бермана-Юрина	interrogation_protocol|memo|reference_note	interrogation_protocol|memo_note|reference_note	explicit допрос marker; explicit записка marker; explicit справка marker
5713	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением протокола допроса А.В. Галкина	interrogation_protocol|memo	interrogation_protocol|memo_note	explicit допрос marker; explicit записка marker
5717	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением протокола допроса Л.Б. Каменева	interrogation_protocol|memo|reference_note	interrogation_protocol|memo_note|reference_note	explicit допрос marker; explicit записка marker; explicit справка marker
