asset_doc_id	asset_group	language	sequence	title	text_path	chars	words	source_html
ezhov_1939_en_001	ezhov_1939_interrogations	en	1	Ezhov interrogation 04.18 – 04.20.39	/srv/toolbox/shared/showtrials-review/translation-assets/extracted-text/ezhov/en/ezhov_1939_en_001__ezhov-interrogation-04-18-04-20-39.txt	3501	604	/srv/toolbox/shared/showtrials-review/translation-assets/source-documents/ezhov/html/1939-ezhov-interrogations-en.html
ezhov_1939_en_002	ezhov_1939_interrogations	en	2	Ezhov interrogation 04.23.39 (04.24.39)	/srv/toolbox/shared/showtrials-review/translation-assets/extracted-text/ezhov/en/ezhov_1939_en_002__ezhov-interrogation-04-23-39-04-24-39.txt	4037	726	/srv/toolbox/shared/showtrials-review/translation-assets/source-documents/ezhov/html/1939-ezhov-interrogations-en.html
ezhov_1939_en_003	ezhov_1939_interrogations	en	3	Ezhov interrogation of 04.26.1939 (published separately)	/srv/toolbox/shared/showtrials-review/translation-assets/extracted-text/ezhov/en/ezhov_1939_en_003__ezhov-interrogation-of-04-26-1939-published-separately.txt	56	8	/srv/toolbox/shared/showtrials-review/translation-assets/source-documents/ezhov/html/1939-ezhov-interrogations-en.html
ezhov_1939_en_004	ezhov_1939_interrogations	en	4	Ezhov’s April 26 1939 confession belongs here (from Lubianka)	/srv/toolbox/shared/showtrials-review/translation-assets/extracted-text/ezhov/en/ezhov_1939_en_004__ezhov-s-april-26-1939-confession-belongs-here-from-lubianka.txt	93	11	/srv/toolbox/shared/showtrials-review/translation-assets/source-documents/ezhov/html/1939-ezhov-interrogations-en.html
ezhov_1939_en_005	ezhov_1939_interrogations	en	5	Ezhov interrogation 04.30.39	/srv/toolbox/shared/showtrials-review/translation-assets/extracted-text/ezhov/en/ezhov_1939_en_005__ezhov-interrogation-04-30-39.txt	28	5	/srv/toolbox/shared/showtrials-review/translation-assets/source-documents/ezhov/html/1939-ezhov-interrogations-en.html
ezhov_1939_en_006	ezhov_1939_interrogations	en	6	Ezhov interrogation, Pavliukov 525-6 & n. 489 p. 564. Short Q from interrogation on 525-6.	/srv/toolbox/shared/showtrials-review/translation-assets/extracted-text/ezhov/en/ezhov_1939_en_006__ezhov-interrogation-pavliukov-525-6-n-489-p-564-short-q-from-interrogation-on-52.txt	944	148	/srv/toolbox/shared/showtrials-review/translation-assets/source-documents/ezhov/html/1939-ezhov-interrogations-en.html
ezhov_1939_en_007	ezhov_1939_interrogations	en	7	Ezhov interrogation 05.05.1939	/srv/toolbox/shared/showtrials-review/translation-assets/extracted-text/ezhov/en/ezhov_1939_en_007__ezhov-interrogation-05-05-1939.txt	1303	207	/srv/toolbox/shared/showtrials-review/translation-assets/source-documents/ezhov/html/1939-ezhov-interrogations-en.html
ezhov_1939_en_008	ezhov_1939_interrogations	en	8	Ezhov interrogation May 11 1939 by Kobulov	/srv/toolbox/shared/showtrials-review/translation-assets/extracted-text/ezhov/en/ezhov_1939_en_008__ezhov-interrogation-may-11-1939-by-kobulov.txt	6103	1071	/srv/toolbox/shared/showtrials-review/translation-assets/source-documents/ezhov/html/1939-ezhov-interrogations-en.html
ezhov_1939_en_009	ezhov_1939_interrogations	en	9	Ezhov interrogation 05.17.39	/srv/toolbox/shared/showtrials-review/translation-assets/extracted-text/ezhov/en/ezhov_1939_en_009__ezhov-interrogation-05-17-39.txt	730	118	/srv/toolbox/shared/showtrials-review/translation-assets/source-documents/ezhov/html/1939-ezhov-interrogations-en.html
ezhov_1939_en_010	ezhov_1939_interrogations	en	10	Ezhov interrogation 06.16.39 by Rodos, selections – Polianskii 230-233	/srv/toolbox/shared/showtrials-review/translation-assets/extracted-text/ezhov/en/ezhov_1939_en_010__ezhov-interrogation-06-16-39-by-rodos-selections-polianskii-230-233.txt	1628	303	/srv/toolbox/shared/showtrials-review/translation-assets/source-documents/ezhov/html/1939-ezhov-interrogations-en.html
ezhov_1939_en_011	ezhov_1939_interrogations	en	11	Ezhov interrogation June 19 1939	/srv/toolbox/shared/showtrials-review/translation-assets/extracted-text/ezhov/en/ezhov_1939_en_011__ezhov-interrogation-june-19-1939.txt	1660	264	/srv/toolbox/shared/showtrials-review/translation-assets/source-documents/ezhov/html/1939-ezhov-interrogations-en.html
ezhov_1939_en_012	ezhov_1939_interrogations	en	12	Ezhov interrogation 06.21.39 by Rodos, fm Polianskii 235-238	/srv/toolbox/shared/showtrials-review/translation-assets/extracted-text/ezhov/en/ezhov_1939_en_012__ezhov-interrogation-06-21-39-by-rodos-fm-polianskii-235-238.txt	5379	906	/srv/toolbox/shared/showtrials-review/translation-assets/source-documents/ezhov/html/1939-ezhov-interrogations-en.html
ezhov_1939_en_013	ezhov_1939_interrogations	en	13	Ezhov confession 06.25.39 Rodos re poisons	/srv/toolbox/shared/showtrials-review/translation-assets/extracted-text/ezhov/en/ezhov_1939_en_013__ezhov-confession-06-25-39-rodos-re-poisons.txt	4997	905	/srv/toolbox/shared/showtrials-review/translation-assets/source-documents/ezhov/html/1939-ezhov-interrogations-en.html
ezhov_1939_en_014	ezhov_1939_interrogations	en	14	Ezhov interrogation 06.29.39 by Rodos re Kedrov’s report	/srv/toolbox/shared/showtrials-review/translation-assets/extracted-text/ezhov/en/ezhov_1939_en_014__ezhov-interrogation-06-29-39-by-rodos-re-kedrov-s-report.txt	2515	469	/srv/toolbox/shared/showtrials-review/translation-assets/source-documents/ezhov/html/1939-ezhov-interrogations-en.html
ezhov_1939_en_015	ezhov_1939_interrogations	en	15	Ezhov interrogation 07.02.39 by Rodos re Mnatsakanov	/srv/toolbox/shared/showtrials-review/translation-assets/extracted-text/ezhov/en/ezhov_1939_en_015__ezhov-interrogation-07-02-39-by-rodos-re-mnatsakanov.txt	13595	2468	/srv/toolbox/shared/showtrials-review/translation-assets/source-documents/ezhov/html/1939-ezhov-interrogations-en.html
ezhov_1939_en_016	ezhov_1939_interrogations	en	16	Ezhov interrogation 07.08.39 by Rodos	/srv/toolbox/shared/showtrials-review/translation-assets/extracted-text/ezhov/en/ezhov_1939_en_016__ezhov-interrogation-07-08-39-by-rodos.txt	9405	1700	/srv/toolbox/shared/showtrials-review/translation-assets/source-documents/ezhov/html/1939-ezhov-interrogations-en.html
ezhov_1939_en_017	ezhov_1939_interrogations	en	17	Ezhov ochnaia stavka w. Zhukovskii 07.21.39 – Rodos & Esaulov present	/srv/toolbox/shared/showtrials-review/translation-assets/extracted-text/ezhov/en/ezhov_1939_en_017__ezhov-ochnaia-stavka-w-zhukovskii-07-21-39-rodos-esaulov-present.txt	4770	795	/srv/toolbox/shared/showtrials-review/translation-assets/source-documents/ezhov/html/1939-ezhov-interrogations-en.html
ezhov_1939_en_018	ezhov_1939_interrogations	en	18	Ezhov interrogation 07.24.39 by Rodos, including a quotation from a Frinovskii interrogation	/srv/toolbox/shared/showtrials-review/translation-assets/extracted-text/ezhov/en/ezhov_1939_en_018__ezhov-interrogation-07-24-39-by-rodos-including-a-quotation-from-a-frinovskii-in.txt	6570	1140	/srv/toolbox/shared/showtrials-review/translation-assets/source-documents/ezhov/html/1939-ezhov-interrogations-en.html
ezhov_1939_en_019	ezhov_1939_interrogations	en	19	Ezhov interrogation 08.02.39 by Rodos	/srv/toolbox/shared/showtrials-review/translation-assets/extracted-text/ezhov/en/ezhov_1939_en_019__ezhov-interrogation-08-02-39-by-rodos.txt	10809	1806	/srv/toolbox/shared/showtrials-review/translation-assets/source-documents/ezhov/html/1939-ezhov-interrogations-en.html
ezhov_1939_en_020	ezhov_1939_interrogations	en	20	Ezhov interrogation 08.03.39 by Rodos	/srv/toolbox/shared/showtrials-review/translation-assets/extracted-text/ezhov/en/ezhov_1939_en_020__ezhov-interrogation-08-03-39-by-rodos.txt	8702	1487	/srv/toolbox/shared/showtrials-review/translation-assets/source-documents/ezhov/html/1939-ezhov-interrogations-en.html
ezhov_1939_en_021	ezhov_1939_interrogations	en	21	Ezhov August 4 1939 Confession (published separately)	/srv/toolbox/shared/showtrials-review/translation-assets/extracted-text/ezhov/en/ezhov_1939_en_021__ezhov-august-4-1939-confession-published-separately.txt	128	15	/srv/toolbox/shared/showtrials-review/translation-assets/source-documents/ezhov/html/1939-ezhov-interrogations-en.html
ezhov_1939_en_022	ezhov_1939_interrogations	en	22	Ezhov ochnaia stavka with Bulatov 09.20.39	/srv/toolbox/shared/showtrials-review/translation-assets/extracted-text/ezhov/en/ezhov_1939_en_022__ezhov-ochnaia-stavka-with-bulatov-09-20-39.txt	502	75	/srv/toolbox/shared/showtrials-review/translation-assets/source-documents/ezhov/html/1939-ezhov-interrogations-en.html
ezhov_1939_en_023	ezhov_1939_interrogations	en	23	Ezhov interrogation 10.25.39 by Esaulov	/srv/toolbox/shared/showtrials-review/translation-assets/extracted-text/ezhov/en/ezhov_1939_en_023__ezhov-interrogation-10-25-39-by-esaulov.txt	4394	789	/srv/toolbox/shared/showtrials-review/translation-assets/source-documents/ezhov/html/1939-ezhov-interrogations-en.html
ezhov_1939_en_024	ezhov_1939_interrogations	en	24	Ezhov protocol of end of investigation 02.01.40	/srv/toolbox/shared/showtrials-review/translation-assets/extracted-text/ezhov/en/ezhov_1939_en_024__ezhov-protocol-of-end-of-investigation-02-01-40.txt	1518	250	/srv/toolbox/shared/showtrials-review/translation-assets/source-documents/ezhov/html/1939-ezhov-interrogations-en.html
ezhov_1939_en_025	ezhov_1939_interrogations	en	25	Ezhov’s Concluding Statement at Trial (published separately)	/srv/toolbox/shared/showtrials-review/translation-assets/extracted-text/ezhov/en/ezhov_1939_en_025__ezhov-s-concluding-statement-at-trial-published-separately.txt	4782	808	/srv/toolbox/shared/showtrials-review/translation-assets/source-documents/ezhov/html/1939-ezhov-interrogations-en.html
ezhov_1939_ru_001	ezhov_1939_interrogations	ru	1	Ezhov interrog 04.18 – 04.20.39.doc	/srv/toolbox/shared/showtrials-review/translation-assets/extracted-text/ezhov/ru/ezhov_1939_ru_001__ezhov-interrog-04-18-04-20-39-doc.txt	2932	417	/srv/toolbox/shared/showtrials-review/translation-assets/source-documents/ezhov/html/1939-ezhov-interrogations-ru.html
ezhov_1939_ru_002	ezhov_1939_interrogations	ru	2	Ezhov interrog 04.23.39 (04.24.39).doc	/srv/toolbox/shared/showtrials-review/translation-assets/extracted-text/ezhov/ru/ezhov_1939_ru_002__ezhov-interrog-04-23-39-04-24-39-doc.txt	3629	592	/srv/toolbox/shared/showtrials-review/translation-assets/source-documents/ezhov/html/1939-ezhov-interrogations-ru.html
ezhov_1939_ru_003	ezhov_1939_interrogations	ru	3	Ezhov’s April 26 1939 confession belongs here	/srv/toolbox/shared/showtrials-review/translation-assets/extracted-text/ezhov/ru/ezhov_1939_ru_003__ezhov-s-april-26-1939-confession-belongs-here.txt	77	9	/srv/toolbox/shared/showtrials-review/translation-assets/source-documents/ezhov/html/1939-ezhov-interrogations-ru.html
