source_ru	canonical_en	layer	glossary_kind	priority	source_count	status	confidence	review_reason	notes
Л.В. Николаева	L.V. Nikolaeva	people	person_name	high	43	auto_transliterated_needs_review	medium	high_priority_person_needs_human_review	automatic transliteration seed; human review recommended before production glossary
Г.Е. Прокофьева	G.E. Prokofeva	people	person_name	high	33	auto_transliterated_needs_review	medium	high_priority_person_needs_human_review	automatic transliteration seed; human review recommended before production glossary
Г.И. Сафарова	G.I. Safarova	people	person_name	high	32	auto_transliterated_needs_review	medium	high_priority_person_needs_human_review	automatic transliteration seed; human review recommended before production glossary
Е.В. Цетлина	E.V. Tsetlina	people	person_name	high	20	auto_transliterated_needs_review	medium	high_priority_person_needs_human_review	automatic transliteration seed; human review recommended before production glossary
троцкист	Trotskyist	roles	political_label	medium	1357	approved	high	political_or_accusatory_label_review_recommended	role/label translation; review political and accusatory labels
правый	Rightist	roles	political_label	medium	607	approved	high	political_or_accusatory_label_review_recommended	role/label translation; review political and accusatory labels
агент	agent	roles	accusatory_or_intelligence_label	medium	222	approved	high	political_or_accusatory_label_review_recommended	role/label translation; review political and accusatory labels
вредитель	wrecker	roles	accusatory_label	medium	58	approved	high	political_or_accusatory_label_review_recommended	role/label translation; review political and accusatory labels
Дмитриев	Dmitriev	people	person_name	medium	17	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Н.А. Розенфельд	N.A. Rozenfeld	people	person_name	medium	16	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Г.Е. Евдокимова	G.E. Evdokimova	people	person_name	medium	14	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Членов	Chlenov	people	person_name	medium	14	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
В.А. Балицкого	V.A. Balitsky	people	person_name	medium	13	auto_normalized_needs_review	medium	medium_priority_person_optional_review	auto transliteration adjusted by common historical romanization rules
Е.К. Мухановой	E.K. Mukhanova	people	person_name	medium	13	auto_normalized_needs_review	medium	medium_priority_person_optional_review	auto transliteration adjusted by common historical romanization rules
И.И. Котолынова	I.I. Kotolynova	people	person_name	medium	13	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
И.П. Бакаева	I.P. Bakaev	people	person_name	medium	13	auto_normalized_needs_review	medium	medium_priority_person_optional_review	auto transliteration adjusted by common historical romanization rules
А.И. Анишева	A.I. Anisheva	people	person_name	medium	12	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
В.В. Румянцева	V.V. Rumyantseva	people	person_name	medium	12	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Г.Б. Синани-Скалов	G.B. Sinani-Skalov	people	person_name	medium	12	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
Г.Ф. Попова	G.F. Popova	people	person_name	medium	12	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
И.С. Горшенина	I.S. Gorshenina	people	person_name	medium	12	auto_transliterated_needs_review	medium	medium_priority_person_optional_review	automatic transliteration seed; human review recommended before production glossary
