source_ru	canonical_en	layer	glossary_kind	priority	source_count	status	confidence	review_reason	notes
ВКП(б)	All-Union Communist Party (Bolsheviks)	organizations	organization	high	1397	approved	high		canonical organization/institution label
ГУГБ	GUGB	organizations	organization	high	1296	approved	high		canonical organization/institution label
НКВД	NKVD	organizations	organization	high	915	approved	high		canonical organization/institution label
ЦК ВКП(б)	Central Committee of the All-Union Communist Party (Bolsheviks)	organizations	organization	high	869	approved	high		canonical organization/institution label
Сталин	Joseph Stalin	people	person_name	high	520	approved	high		curated historical English name
ПРОЦЕСС 19-23 АВГУСТА 1936 г.	August 1936 Trial	processes	process_name	high	486	approved	high		canonical process label
ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	January 1937 Trial	processes	process_name	high	481	approved	high		canonical process label
Ежов	Nikolai Yezhov	people	person_name	high	466	approved	high		curated historical English name
ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	Moscow Center Trial	processes	process_name	high	424	approved	high		canonical process label
Правда	Pravda	organizations	organization	high	328	approved	high		canonical organization/institution label
КРЕМЛЕВСКОЕ ДЕЛО	Kremlin Case	processes	process_name	high	292	approved	high		canonical process label
Коминтерн	Comintern	organizations	organization	high	290	approved	high		canonical organization/institution label
ПРОЦЕСС 2-12 МАРТА 1938 г.	March 1938 Trial	processes	process_name	high	284	approved	high		canonical process label
Политбюро	Politburo	organizations	organization	high	278	approved	high		canonical organization/institution label
ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	Leningrad Center Trial	processes	process_name	high	175	approved	high		canonical process label
Г.Г. Ягода	Genrikh Yagoda	people	person_name	high	158	approved	high		curated historical English name
Совнарком	Council of People's Commissars	organizations	organization	high	126	approved	high		canonical organization/institution label
Известия	Izvestia	organizations	organization	high	103	approved	high		canonical organization/institution label
Ольберг	Valentin Olberg	people	person_name	high	94	approved	high		curated historical English name
ЦИК СССР	Central Executive Committee of the USSR	organizations	organization	high	82	approved	high		canonical organization/institution label
Седов	Lev Sedov	people	person_name	high	78	approved	high		curated historical English name
ИККИ	Executive Committee of the Communist International	organizations	organization	high	76	approved	high		canonical organization/institution label
Агранов	Yakov Agranov	people	person_name	high	74	approved	high		curated historical English name
Бухарин	Nikolai Bukharin	people	person_name	high	73	approved	high		curated historical English name
КПК	Party Control Commission	organizations	organization	high	54	approved	high		canonical organization/institution label
ИНО ГУГБ	Foreign Department of the GUGB	organizations	organization	high	53	approved	high		canonical organization/institution label
Зиновьев	Grigory Zinoviev	people	person_name	high	50	approved	high		curated historical English name
ОО ГУГБ НКВД	Special Department of the GUGB NKVD	organizations	organization	high	40	approved	high		canonical organization/institution label
Верховный Суд СССР	Supreme Court of the USSR	organizations	organization	high	33	approved	high		canonical organization/institution label
ТРОЦКИЙ	Trotsky Dossier	processes	process_name	high	31	approved	high		canonical process label
НКИД	People's Commissariat for Foreign Affairs	organizations	organization	high	28	approved	high		canonical organization/institution label
Л.Д. Троцкий	Leon Trotsky	people	person_name	high	28	approved	high		curated historical English name
Каменев	Lev Kamenev	people	person_name	high	26	approved	high		curated historical English name
Радек	Karl Radek	people	person_name	high	25	approved	high		curated historical English name
Пятаков	Georgy Pyatakov	people	person_name	high	22	approved	high		curated historical English name
