source_ru	canonical_en	layer	glossary_kind	priority	source_count	status	confidence	historical_person_tier	review_reason	g3_action	g3_review_priority	g3_review_reason	g4_action	g4_confidence	g4_review_priority	g4_review_reason	person_document_count	person_organization_count	alias_count	process_distribution	notes
ВКП(б)	All-Union Communist Party (Bolsheviks)	organizations	organization	high	1397	approved	high	not_person													canonical organization/institution label
ГУГБ	GUGB	organizations	organization	high	1296	approved	high	not_person													canonical organization/institution label
НКВД	NKVD	organizations	organization	high	915	approved	high	not_person													canonical organization/institution label
ЦК ВКП(б)	Central Committee of the All-Union Communist Party (Bolsheviks)	organizations	organization	high	869	approved	high	not_person													canonical organization/institution label
Сталин	Joseph Stalin	people	person_name	high	520	approved	high	tier1_core_or_high_frequency									520	21	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:242 | ПРОЦЕСС 2-12 МАРТА 1938 г.:144 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:88 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:32 | КРЕМЛЕВСКОЕ ДЕЛО:11 | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:2 | РАЗНЫЕ ДОКУМЕНТЫ:1	curated historical English name
ПРОЦЕСС 19-23 АВГУСТА 1936 г.	August 1936 Trial	processes	process_name	high	486	approved	high	not_person													canonical process label
ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	January 1937 Trial	processes	process_name	high	481	approved	high	not_person													canonical process label
Ежов	Nikolai Yezhov	people	person_name	high	466	approved	high	tier1_core_or_high_frequency									466	21	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:257 | ПРОЦЕСС 2-12 МАРТА 1938 г.:84 | КРЕМЛЕВСКОЕ ДЕЛО:62 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:57 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:3 | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:2 | РАЗНЫЕ ДОКУМЕНТЫ:1	curated historical English name
ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	Moscow Center Trial	processes	process_name	high	424	approved	high	not_person													canonical process label
Правда	Pravda	organizations	organization	high	328	approved	high	not_person													canonical organization/institution label
