document_type	sample_no	document_post_id	content_chars	primary_process	document_title	sample_path	review_priority	expected_structure	review_questions	suggested_chunk_unit	notes
special_report	1	3390	398	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	Спецсообщение Г.Г. Ягоды И.В. Сталину об аресте М.М. Харитонова	/srv/projects/showtrials-discovery/structural_samples_d2_1/special_report/01_3390_._._._._._..txt	high	classification/header + recipient/sender + body + attached materials	Where does the true body begin? | Are attachments embedded? | Can chunks preserve section boundaries?	header_body_attachment_block	sample_file_chars=1091; index_char_count_differs_from_file; human review aid only; do not infer structure from lexical matches alone
special_report	2	5809	8896	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением протокола допроса Б.И. Кузьмичева	/srv/projects/showtrials-discovery/structural_samples_d2_1/special_report/02_5809_._._._._._..txt	high	classification/header + recipient/sender + body + attached materials	Where does the true body begin? | Are attachments embedded? | Can chunks preserve section boundaries?	header_body_attachment_block	sample_file_chars=6551; index_char_count_differs_from_file; human review aid only; do not infer structure from lexical matches alone
special_report	3	7582	14760	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Я.А. Лившица	/srv/projects/showtrials-discovery/structural_samples_d2_1/special_report/03_7582_._._._._._..txt	high	classification/header + recipient/sender + body + attached materials	Where does the true body begin? | Are attachments embedded? | Can chunks preserve section boundaries?	header_body_attachment_block	sample_file_chars=6552; index_char_count_differs_from_file; human review aid only; do not infer structure from lexical matches alone
special_report	4	6206	23060	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Ю.М. Коцюбинского	/srv/projects/showtrials-discovery/structural_samples_d2_1/special_report/04_6206_._._._._._..txt	high	classification/header + recipient/sender + body + attached materials	Where does the true body begin? | Are attachments embedded? | Can chunks preserve section boundaries?	header_body_attachment_block	sample_file_chars=6562; index_char_count_differs_from_file; human review aid only; do not infer structure from lexical matches alone
special_report	5	7995	179437	ПРОЦЕСС 2-12 МАРТА 1938 г.	Спецсообщение Н.И. Ежова И.В. Сталину с приложением тюремных записок В.В. Кузьмина	/srv/projects/showtrials-discovery/structural_samples_d2_1/special_report/05_7995_._._._._._..txt	high	classification/header + recipient/sender + body + attached materials	Where does the true body begin? | Are attachments embedded? | Can chunks preserve section boundaries?	header_body_attachment_block	sample_file_chars=6544; index_char_count_differs_from_file; human review aid only; do not infer structure from lexical matches alone
special_report	6	8173	158588	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	Спецсообщение Г.Г. Ягоды И.В. Сталину о троцкистской группе И.Н. Смирнова с приложением списков троцкистов	/srv/projects/showtrials-discovery/structural_samples_d2_1/special_report/06_8173_._._._._._..txt	high	classification/header + recipient/sender + body + attached materials	Where does the true body begin? | Are attachments embedded? | Can chunks preserve section boundaries?	header_body_attachment_block	sample_file_chars=6601; index_char_count_differs_from_file; human review aid only; do not infer structure from lexical matches alone
special_report	7	8849	105764	ПРОЦЕСС 2-12 МАРТА 1938 г.	Спецсообщение Н.И. Ежова И.В. Сталину с приложением “Тезисов о современном положении и задачах партии”	/srv/projects/showtrials-discovery/structural_samples_d2_1/special_report/07_8849_._._._..txt	high	classification/header + recipient/sender + body + attached materials	Where does the true body begin? | Are attachments embedded? | Can chunks preserve section boundaries?	header_body_attachment_block	sample_file_chars=6577; index_char_count_differs_from_file; human review aid only; do not infer structure from lexical matches alone
special_report	8	10470	81158	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	Спецсообщение Я.С. Агранова И.В. Сталину с приложением меморандума по делу арестованных троцкистов	/srv/projects/showtrials-discovery/structural_samples_d2_1/special_report/08_10470_._._._..txt	high	classification/header + recipient/sender + body + attached materials	Where does the true body begin? | Are attachments embedded? | Can chunks preserve section boundaries?	header_body_attachment_block	sample_file_chars=6585; index_char_count_differs_from_file; human review aid only; do not infer structure from lexical matches alone
interrogation_protocol	1	3133	443	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	Протокол допроса И.И. Котолынова	/srv/projects/showtrials-discovery/structural_samples_d2_1/interrogation_protocol/01_3133_._..txt	high	header + question/answer blocks + signature	Where does the true body begin? | Are Q/A blocks explicit or only lexical mentions? | Can chunks preserve section boundaries?	question_answer_block	sample_file_chars=1031; index_char_count_differs_from_file; human review aid only; do not infer structure from lexical matches alone
interrogation_protocol	2	3182	2741	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	Протокол допроса Л.В. Николаева	/srv/projects/showtrials-discovery/structural_samples_d2_1/interrogation_protocol/02_3182_._..txt	high	header + question/answer blocks + signature	Where does the true body begin? | Are Q/A blocks explicit or only lexical mentions? | Can chunks preserve section boundaries?	question_answer_block	sample_file_chars=3327; index_char_count_differs_from_file; human review aid only; do not infer structure from lexical matches alone
interrogation_protocol	3	3959	5406	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	Протокол допроса А.К. Середохина	/srv/projects/showtrials-discovery/structural_samples_d2_1/interrogation_protocol/03_3959_._..txt	high	header + question/answer blocks + signature	Where does the true body begin? | Are Q/A blocks explicit or only lexical mentions? | Can chunks preserve section boundaries?	question_answer_block	sample_file_chars=5981; index_char_count_differs_from_file; human review aid only; do not infer structure from lexical matches alone
interrogation_protocol	4	5653	9554	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	Протокол допроса Я.П. Гальперина	/srv/projects/showtrials-discovery/structural_samples_d2_1/interrogation_protocol/04_5653_._..txt	high	header + question/answer blocks + signature	Where does the true body begin? | Are Q/A blocks explicit or only lexical mentions? | Can chunks preserve section boundaries?	question_answer_block	sample_file_chars=6453; index_char_count_differs_from_file; human review aid only; do not infer structure from lexical matches alone
interrogation_protocol	5	5863	64769	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	Протокол допроса М.С. Строилова	/srv/projects/showtrials-discovery/structural_samples_d2_1/interrogation_protocol/05_5863_._..txt	high	header + question/answer blocks + signature	Where does the true body begin? | Are Q/A blocks explicit or only lexical mentions? | Can chunks preserve section boundaries?	question_answer_block	sample_file_chars=6450; index_char_count_differs_from_file; human review aid only; do not infer structure from lexical matches alone
interrogation_protocol	6	5879	45255	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	Протокол допроса М.С. Строилова	/srv/projects/showtrials-discovery/structural_samples_d2_1/interrogation_protocol/06_5879_._..txt	high	header + question/answer blocks + signature	Where does the true body begin? | Are Q/A blocks explicit or only lexical mentions? | Can chunks preserve section boundaries?	question_answer_block	sample_file_chars=6453; index_char_count_differs_from_file; human review aid only; do not infer structure from lexical matches alone
interrogation_protocol	7	8702	42797	ПРОЦЕСС 2-12 МАРТА 1938 г.	Протокол допроса Н.И. Бухарина	/srv/projects/showtrials-discovery/structural_samples_d2_1/interrogation_protocol/07_8702_._..txt	high	header + question/answer blocks + signature	Where does the true body begin? | Are Q/A blocks explicit or only lexical mentions? | Can chunks preserve section boundaries?	question_answer_block	sample_file_chars=6435; index_char_count_differs_from_file; human review aid only; do not infer structure from lexical matches alone
interrogation_protocol	8	5850	39321	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	Протокол допроса Я.И. Зайдмана	/srv/projects/showtrials-discovery/structural_samples_d2_1/interrogation_protocol/08_5850_._..txt	high	header + question/answer blocks + signature	Where does the true body begin? | Are Q/A blocks explicit or only lexical mentions? | Can chunks preserve section boundaries?	question_answer_block	sample_file_chars=6450; index_char_count_differs_from_file; human review aid only; do not infer structure from lexical matches alone
session_transcript	1	2538	1793	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	27 ЯНВАРЯ – ВЕЧЕРНЕЕ ЗАКРЫТОЕ ЗАСЕДАНИЕ	/srv/projects/showtrials-discovery/structural_samples_d2_1/session_transcript/01_2538_27.txt	high	session header + speaker turns + procedural notes	Where does the true body begin? | Are speaker turns explicit? | Can chunks preserve section boundaries?	speaker_turn_or_procedural_block	sample_file_chars=2360; index_char_count_differs_from_file; human review aid only; do not infer structure from lexical matches alone
session_transcript	2	9420	26153	КРЕМЛЕВСКОЕ ДЕЛО	Фрагмент стенограммы заседания парткома ИККИ	/srv/projects/showtrials-discovery/structural_samples_d2_1/session_transcript/02_9420_sample.txt	high	session header + speaker turns + procedural notes	Where does the true body begin? | Are speaker turns explicit? | Can chunks preserve section boundaries?	speaker_turn_or_procedural_block	sample_file_chars=6461; index_char_count_differs_from_file; human review aid only; do not infer structure from lexical matches alone
session_transcript	3	2526	109501	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	26 ЯНВАРЯ – УТРЕННЕЕ ЗАСЕДАНИЕ	/srv/projects/showtrials-discovery/structural_samples_d2_1/session_transcript/03_2526_26.txt	high	session header + speaker turns + procedural notes	Where does the true body begin? | Are speaker turns explicit? | Can chunks preserve section boundaries?	speaker_turn_or_procedural_block	sample_file_chars=6440; index_char_count_differs_from_file; human review aid only; do not infer structure from lexical matches alone
session_transcript	4	2478	145161	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	21 АВГУСТА – УТРЕННЕЕ ЗАСЕДАНИЕ	/srv/projects/showtrials-discovery/structural_samples_d2_1/session_transcript/04_2478_21.txt	high	session header + speaker turns + procedural notes	Where does the true body begin? | Are speaker turns explicit? | Can chunks preserve section boundaries?	speaker_turn_or_procedural_block	sample_file_chars=6441; index_char_count_differs_from_file; human review aid only; do not infer structure from lexical matches alone
