source_ru	canonical_en	layer	glossary_kind	priority	source_count	status	confidence	historical_person_tier	review_reason	g3_action	g3_review_priority	g3_review_reason	g4_action	g4_confidence	g4_review_priority	g4_review_reason	person_document_count	person_organization_count	alias_count	process_distribution	notes
троцкист	Trotskyist	roles	political_label	medium	1357	approved	high	not_person	political_or_accusatory_label_review_recommended	role_note_enriched	medium	political_or_accusatory_label_semantic_review			medium	semantic_label_policy_review					Political label. Prefer 'Trotskyist'; keep as analytical/accusatory category, not neutral affiliation.
правый	Rightist	roles	political_label	medium	607	approved	high	not_person	political_or_accusatory_label_review_recommended	role_note_enriched	medium	political_or_accusatory_label_semantic_review			medium	semantic_label_policy_review					Political label. Prefer 'Rightist' in context of Soviet opposition terminology.
агент	agent	roles	accusatory_or_intelligence_label	medium	222	approved	high	not_person	political_or_accusatory_label_review_recommended	role_note_enriched	medium	political_or_accusatory_label_semantic_review			medium	semantic_label_policy_review					Ambiguous: can mean agent, operative, or accused foreign/intelligence agent depending on context.
вредитель	wrecker	roles	accusatory_label	medium	58	approved	high	not_person	political_or_accusatory_label_review_recommended	role_note_enriched	medium	political_or_accusatory_label_semantic_review			medium	semantic_label_policy_review					Accusatory Stalinist term. 'Wrecker' is historically conventional but should remain marked as accusatory.
Е.К. Мухановой	E.K. Mukhanov	people	person_name	medium	13	auto_normalized_needs_review	medium	tier2_unresolved	medium_priority_person_optional_review	auto_morphological_normalization	medium	person_10plus_docs_not_approved			medium	person_10plus_docs_unresolved	13	9	1	КРЕМЛЕВСКОЕ ДЕЛО:13	auto transliteration adjusted by common historical romanization rules
В.И. Звездова	V.I. Zvezdov	people	person_name	medium	9	auto_normalized_needs_review	medium	tier3_review_if_needed	medium_priority_person_optional_review	auto_morphological_normalization	low	person_5plus_docs_not_approved			low	person_5plus_docs_unresolved	9	4	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:9	automatic transliteration seed; human review recommended before production glossary
М.Ф. Шкирятову	M.F. Shkiryatov	people	person_name	medium	8	auto_normalized_needs_review	medium	tier3_review_if_needed	medium_priority_person_optional_review		low	person_5plus_docs_not_approved			low	person_5plus_docs_unresolved	8	11	2	КРЕМЛЕВСКОЕ ДЕЛО:7 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1	auto transliteration adjusted by common historical romanization rules
С.М. Гессена	S.M. Hessen	people	person_name	medium	8	auto_normalized_needs_review	medium	tier3_review_if_needed	medium_priority_person_optional_review		low	person_5plus_docs_not_approved			low	person_5plus_docs_unresolved	8	6	2	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:8	auto transliteration adjusted by common historical romanization rules
А.И. Толмазова	A.I. Tolmazov	people	person_name	medium	8	auto_normalized_needs_review	medium	tier3_review_if_needed	medium_priority_person_optional_review	auto_morphological_normalization	low	person_5plus_docs_not_approved			low	person_5plus_docs_unresolved	8	2	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:8	automatic transliteration seed; human review recommended before production glossary
А.С. Куклина	A.S. Kuklin	people	person_name	medium	7	auto_normalized_needs_review	medium	tier3_review_if_needed	medium_priority_person_optional_review	auto_morphological_normalization	low	person_5plus_docs_not_approved			low	person_5plus_docs_unresolved	7	5	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:7	automatic transliteration seed; human review recommended before production glossary
