document_type	documents	chars	estimated_nmt_ru_en_usd	segmentation_strategy	segment_kinds	target_chunk_chars	soft_max_chars	hard_max_chars	reassembly_strategy	translation_notes	status	manual_review_required
special_report	526	9604474	192.09	classification_recipient_body_attachments	classification | sender_recipient | summary | body_paragraph | attachment	3200	4500	5000	preserve_header_body_attachment_order	Preserve secrecy marks, sender/recipient lines, and attachment boundaries.	draft_profile	no
interrogation_protocol	982	7301792	146.04	protocol_header_then_question_answer_blocks	header | question_answer | answer_continuation | signature	3000	4500	5000	preserve_question_answer_order	Preserve speaker/question-answer structure. Do not merge separate interrogatory turns.	draft_profile	no
session_transcript	51	4934530	98.69	session_header_then_speaker_turns	session_header | speaker_turn | procedural_note | resolution	3000	4200	5000	preserve_session_sequence	Prioritize speaker turns. Avoid cutting inside long speeches unless necessary.	draft_profile	no
letter	256	1481811	29.64	salutation_body_signature	header | salutation | body_paragraph | signature | postscript	3000	4500	5000	preserve_letter_structure	Preserve addressee, salutation, signature, and emotional tone.	draft_profile	no
statement	78	977750	19.55	header_then_numbered_or_paragraph_blocks	header | statement_paragraph | numbered_point | signature	3200	4500	5000	preserve_argument_sequence	Preserve numbered claims and rhetorical structure.	draft_profile	no
biographical_article	2	438269	8.77	paragraph_blocks_with_headings	headline | section_heading | paragraph	3500	4500	5000	preserve_article_order	Preserve biographical chronology and headings.	draft_profile	yes
memo_note	40	412107	8.24	header_body_attachments	header | body_paragraph | attachment | signature	3200	4500	5000	preserve_note_structure	Preserve memo headers and any attached materials.	draft_profile	no
conversation_recording	34	360525	7.21	generic_paragraph_blocks	header | paragraph | note	3000	4300	5000	preserve_order	Fallback profile; requires manual review.	draft_profile	no
testimony	48	336308	6.73	header_then_narrative_blocks	header | testimony_paragraph | continuation | signature	3200	4500	5000	preserve_testimony_sequence	Preserve chronology and first-person narrative structure.	draft_profile	no
confrontation_protocol	57	318436	6.37	protocol_header_then_alternating_speaker_blocks	header | speaker_turn | confrontation_exchange | signature	3000	4500	5000	preserve_speaker_turn_order	Preserve confrontation exchanges and speaker attribution.	draft_profile	no
list	16	250232	5.00	list_items_grouped	list_header | list_item_group | list_footer	1800	3000	5000	preserve_item_order	Do not break inside individual list items where possible.	draft_profile	no
indictment	5	170448	3.41	sections_charges_numbered_points	header | charge_section | numbered_point | conclusion	3000	4300	5000	preserve_charge_hierarchy	Preserve legal structure and charge numbering.	draft_profile	yes
press_summary	4	159278	3.19	press_sections_and_paragraphs	header | press_item | body_paragraph	3200	4500	5000	preserve_press_item_order	Preserve attribution to newspapers/agencies.	draft_profile	no
administrative_report	16	97861	1.96	header_then_body_paragraphs	header | body_paragraph | signature	3200	4500	5000	preserve_paragraph_order	Preserve administrative formulae and dates.	draft_profile	no
reference_note	6	91263	1.83	header_factual_paragraphs	header | factual_paragraph | source_note	3000	4300	5000	preserve_reference_structure	Preserve factual register.	draft_profile	no
draft_project	4	69908	1.40	draft_sections_numbered_points	header | draft_section | numbered_point | note	3000	4300	5000	preserve_draft_structure	Preserve draft/project status and numbering.	draft_profile	no
explanation	4	43399	0.87	paragraph_blocks	header | explanation_paragraph | signature	3200	4500	5000	preserve_paragraph_order	Preserve explanatory sequence.	draft_profile	no
speech	2	41779	0.84	speech_sections_or_paragraphs	speech_header | paragraph | applause_note | conclusion	3300	4500	5000	preserve_speech_flow	Preserve oratorical flow and interruptions.	draft_profile	no
program	1	32779	0.66	program_sections	header | section | program_point	3000	4300	5000	preserve_program_sections	Preserve programmatic structure.	draft_profile	no
verdict_or_sentence	3	30263	0.61	sections_findings_sentence	header | finding | legal_basis | sentence | conclusion	3000	4300	5000	preserve_verdict_sequence	Preserve operative legal language and sentence terms.	draft_profile	yes
brochure	1	29330	0.59	section_headings_and_paragraphs	section_heading | paragraph | note	3500	4500	5000	preserve_brochure_sections	Preserve section headings.	draft_profile	no
telegram	15	27564	0.55	whole_document_or_header_body	telegram_header | telegram_body | signature	2500	4000	5000	preserve_telegram_integrity	Prefer whole-document translation unless over hard limit.	draft_profile	no
plan_instruction	3	26029	0.52	instruction_points	header | instruction_point | numbered_point	2800	4200	5000	preserve_instruction_order	Preserve imperative/instructional wording.	draft_profile	no
autobiography	1	18165	0.36	chronological_paragraph_blocks	header | autobiographical_paragraph | date_section	3300	4500	5000	preserve_chronology	Preserve first-person chronology.	draft_profile	no
plea_pardon	2	17747	0.35	petition_structure	header | addressee | petition_body | signature	3000	4300	5000	preserve_petition_structure	Preserve deferential/legal petition tone.	draft_profile	no
questionnaire_response	2	16713	0.33	question_answer_pairs	question | answer | question_answer_pair	2500	4000	5000	preserve_question_answer_pairs	Keep questions attached to corresponding answers.	draft_profile	no
correspondence	2	15848	0.32	split_individual_letters_then_letter_profile	letter_boundary | header | salutation | body_paragraph | signature	3000	4500	5000	preserve_each_letter_boundary	Do not merge distinct letters inside correspondence.	draft_profile	no
article	2	15684	0.31	paragraph_blocks	headline | paragraph | section	3500	4500	5000	preserve_article_order	Text-flow oriented; preserve headings.	draft_profile	no
summary	7	14715	0.29	summary_sections_or_paragraphs	header | summary_paragraph | conclusion	3200	4500	5000	preserve_summary_order	Preserve concise summary style.	draft_profile	no
interrogation_extract	1	14237	0.28	extract_header_then_question_answer_blocks	extract_header | question_answer | excerpt_note	3000	4300	5000	preserve_excerpt_boundaries	Preserve extract status and omitted-text markers.	draft_profile	no
decree_resolution	3	9970	0.20	resolution_points	header | resolution_point | signature	2800	4200	5000	preserve_resolution_points	Preserve formal resolution language.	draft_profile	no
poem	1	8927	0.18	stanzas	title | stanza | line_group	1800	3000	5000	preserve_line_breaks	Preserve line/stanza structure; translation quality may require manual review.	draft_profile	yes
medical_act	1	6240	0.12	medical_form_sections	header | observation | conclusion | signature	2500	4000	5000	preserve_form_structure	Preserve clinical/formal wording.	draft_profile	no
data_extract	2	3202	0.06	rows_or_records	record_header | data_record | row_group	1800	3000	5000	preserve_record_order	Preserve structured records; avoid prose normalization.	draft_profile	no
search_protocol	1	2204	0.04	protocol_header_inventory_signature	header | inventory_item | procedural_note | signature	2500	4000	5000	preserve_inventory_order	Preserve inventory/procedural structure.	draft_profile	no
