layer	path	exists	row_count	column_count	columns
catalog	/tmp/showtrials-discovery/showtrials_master_catalog.tsv	yes	2179	21	document_post_id | document_title | document_url | document_date | document_modified | primary_process | primary_collection | all_processes | all_collections | category_ids | category_names | category_slugs | tag_ids | tag_names | tag_slugs | content_chars | content_words | slug | wp_author | wp_status | wp_type
people	/tmp/showtrials-discovery/showtrials_literal_people.tsv	yes	794	10	person | raw_forms | document_count | total_words | first_date | last_date | process_count | processes | collection_count | collections
person_documents	/tmp/showtrials-discovery/showtrials_literal_person_documents.tsv	yes	3623	9	person | raw_person | document_post_id | document_date | document_title | primary_process | primary_collection | content_words | document_url
person_aliases	/tmp/showtrials-discovery/showtrials_person_aliases.tsv	yes	832	10	raw_person | canonical_person | reason | confidence | document_count | total_words | first_date | last_date | processes | collections
document_types	/tmp/showtrials-discovery/showtrials_document_types_v4.tsv	yes	2179	12	document_post_id | document_date | document_title | document_type | matched_types | reason | primary_process | primary_collection | category_names | tag_names | content_words | document_url
organizations	/tmp/showtrials-discovery/showtrials_organizations.tsv	yes	25	9	organization | organization_kind | document_count | total_words | first_date | last_date | raw_forms | processes | collections
organization_documents	/tmp/showtrials-discovery/showtrials_organization_documents.tsv	yes	6031	13	organization | organization_kind | document_post_id | document_date | document_title | primary_process | primary_collection | category_names | tag_names | hit_count | raw_forms | content_words | document_url
organization_hierarchy	/tmp/showtrials-discovery/showtrials_organization_hierarchy.tsv	yes	9	12	child_organization | parent_organization | relation_type | confidence | reason | child_kind | parent_kind | child_document_count | parent_document_count | status | review_decision | notes
organization_families	/tmp/showtrials-discovery/showtrials_organization_families.tsv	yes	25	6	organization | organization_kind | organization_family | document_count | first_date | last_date
organization_family_document_matrix	/tmp/showtrials-discovery/showtrials_organization_family_document_matrix.tsv	yes	2179	20	document_post_id | document_date | document_title | primary_process | primary_collection | category_names | tag_names | organization_families | organizations | family_count | organization_count | has_party_apparatus | has_security_apparatus | has_state_apparatus | has_judicial_apparatus | has_press_media | has_international | has_political_organizations | content_words | document_url
roles_v2	/tmp/showtrials-discovery/showtrials_roles_v2.tsv	yes	29	10	role | role_class | position_family_v1 | document_count | total_words | first_date | last_date | raw_forms | promote_to_profile_signal | notes
role_documents_v2	/tmp/showtrials-discovery/showtrials_role_documents_v2.tsv	yes	10238	17	position | position_family | document_post_id | document_date | document_title | primary_process | primary_collection | category_names | tag_names | organization_families | hit_count | raw_forms | content_words | document_url | role | role_class | promote_to_profile_signal
person_organization_matrix	/tmp/showtrials-discovery/showtrials_person_organization_matrix.tsv	yes	3180	14	person | organization | organization_family | document_count | person_total_documents | organization_total_documents | share_of_person_documents | share_of_organization_documents | association_weight | top_processes | top_collections | top_document_types | documents | interpretation_note
person_organization_summary	/tmp/showtrials-discovery/showtrials_person_organization_summary.tsv	yes	771	5	person | organization_count | top_organizations | top_families | total_pair_document_sum
organization_person_summary	/tmp/showtrials-discovery/showtrials_organization_person_summary.tsv	yes	22	5	organization | organization_family | person_count | top_people | total_pair_document_sum
person_context_profiles_v2	/tmp/showtrials-discovery/showtrials_person_institution_profiles_v2.tsv	yes	794	17	person | document_count | total_words | first_date | last_date | profile_tags | top_families | top_organizations | top_office_positions | top_trial_roles | top_political_labels | top_accusatory_labels | top_generic_roles | top_document_types | top_processes | top_collections | interpretation_note
person_process_matrix	/tmp/showtrials-discovery/showtrials_person_process_matrix.tsv	yes	923	5	person | process | process_kind | document_count | documents
organization_process_matrix	/tmp/showtrials-discovery/showtrials_organization_process_matrix.tsv	yes	133	5	organization | process | process_kind | document_count | documents
family_process_matrix	/tmp/showtrials-discovery/showtrials_family_process_matrix.tsv	yes	50	5	organization_family | process | process_kind | document_count | documents
processes	/tmp/showtrials-discovery/showtrials_processes.tsv	yes	9	16	process | process_kind | document_count | total_words | first_date | last_date | person_count | organization_count | family_count | document_type_count | collection_count | top_people | top_organizations | top_families | top_document_types | top_collections
process_document_matrix	/tmp/showtrials-discovery/showtrials_process_document_matrix.tsv	yes	2179	12	process | process_kind | document_post_id | document_date | document_title | document_type | primary_collection | organization_families | people_count | organization_count | content_words | document_url
person_process_profiles	/tmp/showtrials-discovery/showtrials_person_process_profiles.tsv	yes	794	10	person | total_process_documents | process_count | process_kind_count | top_process | top_process_document_count | top_process_share | process_distribution | process_kind_distribution | interpretation_note
organization_process_profiles	/tmp/showtrials-discovery/showtrials_organization_process_profiles.tsv	yes	25	10	organization | total_process_documents | process_count | process_kind_count | top_process | top_process_document_count | top_process_share | process_distribution | process_kind_distribution | interpretation_note
family_process_profiles	/tmp/showtrials-discovery/showtrials_family_process_profiles.tsv	yes	7	10	organization_family | total_process_documents | process_count | process_kind_count | top_process | top_process_document_count | top_process_share | process_distribution | process_kind_distribution | interpretation_note
