document_post_id	document_title	primary_process	content_chars	package_likelihood	detected_attachment_count	detected_attachment_types	detected_markers	first_marker_position	cover_note_likely	embedded_interrogation_protocol	embedded_list	embedded_memo	embedded_diary	embedded_theses	embedded_reference_note	embedded_draft_project	recommended_package_strategy	notes
1541	Спецсообщение Г.Г. Ягоды И.В. Сталину об аресте бывших зиновьевцев	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2837	possible	1	theses	приложение|тезисы	635	no	no	no	no	no	yes	no	no	cover_plus_attachment_detection	align with blueprint header_body_attachment_block
1704	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением анонимного письма за подписью “Г.”	КРЕМЛЕВСКОЕ ДЕЛО	9572	strong	2	generic_attachment|list	направляю|приложение|с приложением|список	39	yes	no	yes	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
1726	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением протокола допроса М.С. Жалыбиной-Быковой (в качестве свидетеля)	КРЕМЛЕВСКОЕ ДЕЛО	6080	strong	3	generic_attachment|interrogation_protocol|reference_note	направляю|приложение|протокол допроса|с приложением|справка	38	yes	yes	no	no	no	no	yes	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
2083	Спецсообщение Г.Г. Ягоды И.В. Сталину об аресте троцкистов	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	4742	possible	1	memo	записка	1947	no	no	no	yes	no	no	no	no	cover_plus_attachment_detection	align with blueprint header_body_attachment_block
3288	Спецсообщение Г.Г. Ягоды И.В. Сталину об аресте Г.Е. Зиновьева, Л.Б. Каменева, Г.И. Сафарова	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1384	possible	0		прилагаю	1281	no	no	no	no	no	no	no	no	cover_plus_attachment_detection	weak marker only; requires human review; align with blueprint header_body_attachment_block
3390	Спецсообщение Г.Г. Ягоды И.В. Сталину об аресте М.М. Харитонова	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	398	possible	0		направляю	491	no	no	no	no	no	no	no	no	cover_plus_attachment_detection	weak marker only; requires human review; align with blueprint header_body_attachment_block
3391	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением заявления М.М. Харитонова И.В. Сталину	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	3495	strong	1	generic_attachment	направляю|приложение|с приложением	38	yes	no	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
4203	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением заявления М.С. Голендо в ЦК ВКП(б) от 1 июля 1935 г. и заметок из газеты “Правда”.	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	67013	strong	4	generic_attachment|interrogation_protocol|reference_note|theses	направляю|приложение|протокол допроса|с приложением|справка|тезисы	36	yes	yes	no	no	no	yes	yes	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
4269	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением протокола допроса В.Ф. Логинова	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	11956	strong	2	generic_attachment|interrogation_protocol	направляю|приложение|протокол допроса|с приложением	36	yes	yes	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
4272	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением протокола допроса Г.Я. Сокольникова	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	18952	strong	2	generic_attachment|interrogation_protocol	направляю|приложение|протокол допроса|с приложением	36	yes	yes	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
4664	Спецсообщение Г.Г. Ягоды И.В. Сталину с предложением об аресте С.В. Мрачковского	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	612	none	0				no	no	no	no	no	no	no	no	simple_special_report	align with blueprint header_body_attachment_block
4772	Спецсообщение Г.Г. Ягоды И.В. Сталину об обыске и аресте С.В. Мрачковского с приложением письма С.В. Мрачковского К.Е. Ворошилову	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1428	strong	2	generic_attachment|reference_note	приложение|с приложением|справка	75	yes	no	no	no	no	no	yes	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
4868	Спецсообщение Я.С. Агранова И.В. Сталину с приложением протокола допроса А.И. Синелобова	КРЕМЛЕВСКОЕ ДЕЛО	8707	strong	2	generic_attachment|interrogation_protocol	прилагаю|приложение|протокол допроса|с приложением	41	yes	yes	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
4869	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением протокола допроса В.Г. Дорошина	КРЕМЛЕВСКОЕ ДЕЛО	5190	strong	2	generic_attachment|interrogation_protocol	прилагаю|приложение|протокол допроса|с приложением	38	yes	yes	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
4891	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением протокола допроса Н.А. Розенфельд	КРЕМЛЕВСКОЕ ДЕЛО	11676	strong	2	generic_attachment|interrogation_protocol	направляю|приложение|протокол допроса|с приложением	36	yes	yes	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
4948	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса Н.А. Розенфельд	КРЕМЛЕВСКОЕ ДЕЛО	5562	strong	2	generic_attachment|interrogation_protocol	направляю|приложение|протокол допроса|с приложением	39	yes	yes	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
4958	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса Н.А. Розенфельд	КРЕМЛЕВСКОЕ ДЕЛО	9516	strong	2	generic_attachment|interrogation_protocol	направляю|приложение|протокол допроса|с приложением	39	yes	yes	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
4961	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса М.К. Чернявского	КРЕМЛЕВСКОЕ ДЕЛО	10853	strong	2	generic_attachment|interrogation_protocol	направляю|приложение|протокол допроса|с приложением	39	yes	yes	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
4968	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса А.Ф. Шараповой	КРЕМЛЕВСКОЕ ДЕЛО	5671	strong	2	generic_attachment|interrogation_protocol	направляю|приложение|протокол допроса|с приложением	39	yes	yes	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
4981	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса Л.Я. Нехамкина	КРЕМЛЕВСКОЕ ДЕЛО	4943	strong	2	generic_attachment|interrogation_protocol	направляю|приложение|протокол допроса|с приложением	39	yes	yes	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
4992	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса Н.Б. Розенфельда	КРЕМЛЕВСКОЕ ДЕЛО	7149	strong	3	generic_attachment|interrogation_protocol|reference_note	направляю|приложение|протокол допроса|с приложением|справка	39	yes	yes	no	no	no	no	yes	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
5004	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса К.К. Муханова	КРЕМЛЕВСКОЕ ДЕЛО	8894	strong	2	generic_attachment|interrogation_protocol	направляю|приложение|протокол допроса|с приложением	39	yes	yes	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
5009	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса Д.С. Азбеля	КРЕМЛЕВСКОЕ ДЕЛО	10708	strong	2	generic_attachment|interrogation_protocol	направляю|приложение|протокол допроса|с приложением	39	yes	yes	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
5021	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса Г.Е. Зиновьева	КРЕМЛЕВСКОЕ ДЕЛО	7813	strong	2	generic_attachment|interrogation_protocol	направляю|приложение|протокол допроса|с приложением	39	yes	yes	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
5029	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса Л.Б. Каменева	КРЕМЛЕВСКОЕ ДЕЛО	6221	strong	2	generic_attachment|interrogation_protocol	направляю|приложение|протокол допроса|с приложением	39	yes	yes	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
5059	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса В.Г. Белова	КРЕМЛЕВСКОЕ ДЕЛО	11166	strong	2	generic_attachment|interrogation_protocol	направляю|приложение|протокол допроса|с приложением	39	yes	yes	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
5061	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса Н.А. Розенфельд	КРЕМЛЕВСКОЕ ДЕЛО	4252	strong	2	generic_attachment|interrogation_protocol	направляю|приложение|протокол допроса|с приложением	39	yes	yes	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
5066	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса А.Я. Свердлова	КРЕМЛЕВСКОЕ ДЕЛО	9829	strong	2	generic_attachment|interrogation_protocol	направляю|приложение|протокол допроса|с приложением	39	yes	yes	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
5073	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса М.К. Чернявского	КРЕМЛЕВСКОЕ ДЕЛО	10291	strong	2	generic_attachment|interrogation_protocol	направляю|приложение|протокол допроса|с приложением	39	yes	yes	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
5074	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса А.Ф. Шараповой	КРЕМЛЕВСКОЕ ДЕЛО	5103	strong	2	generic_attachment|interrogation_protocol	направляю|приложение|протокол допроса|с приложением	39	yes	yes	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
5077	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса М.К. Чернявского	КРЕМЛЕВСКОЕ ДЕЛО	7093	strong	2	generic_attachment|interrogation_protocol	направляю|приложение|протокол допроса|с приложением	39	yes	yes	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
5084	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса Е.К. Мухановой	КРЕМЛЕВСКОЕ ДЕЛО	15508	strong	2	generic_attachment|interrogation_protocol	направляю|приложение|протокол допроса|с приложением	39	yes	yes	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
5086	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса К.К. Муханова	КРЕМЛЕВСКОЕ ДЕЛО	6945	strong	2	generic_attachment|interrogation_protocol	направляю|приложение|протокол допроса|с приложением	39	yes	yes	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
5102	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением протокола допроса Д.С. Азбеля	КРЕМЛЕВСКОЕ ДЕЛО	3830	strong	2	generic_attachment|interrogation_protocol	направляю|приложение|протокол допроса|с приложением	36	yes	yes	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
5108	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением протокола допроса М.М. Михайлова	КРЕМЛЕВСКОЕ ДЕЛО	8344	strong	2	generic_attachment|interrogation_protocol	направляю|приложение|протокол допроса|с приложением	36	yes	yes	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
5113	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением протокола очной ставки между Г.Е. Зиновьевым и В.Д. Вуйовичем	КРЕМЛЕВСКОЕ ДЕЛО	4041	strong	2	generic_attachment|interrogation_protocol	направляю|приложение|протокол допроса|с приложением	36	yes	yes	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
5124	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением протокола допроса Н.Б. Розенфельда	КРЕМЛЕВСКОЕ ДЕЛО	8486	strong	2	generic_attachment|interrogation_protocol	направляю|приложение|протокол допроса|с приложением	36	yes	yes	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
5126	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением протокола допроса Н.Б. Скаловой	КРЕМЛЕВСКОЕ ДЕЛО	8163	strong	2	generic_attachment|interrogation_protocol	направляю|приложение|протокол допроса|с приложением	36	yes	yes	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
5137	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением протокола допроса Г.Б. Синани-Скалова	КРЕМЛЕВСКОЕ ДЕЛО	20586	strong	3	generic_attachment|interrogation_protocol|theses	направляю|приложение|протокол допроса|с приложением|тезисы	36	yes	yes	no	no	no	yes	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
5149	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением протокола допроса Г.Б. Либермана	КРЕМЛЕВСКОЕ ДЕЛО	31762	strong	3	generic_attachment|interrogation_protocol|list	направляю|приложение|протокол допроса|с приложением|список	36	yes	yes	yes	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
5152	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса М.К. Чернявского	КРЕМЛЕВСКОЕ ДЕЛО	13979	strong	2	generic_attachment|interrogation_protocol	направляю|приложение|протокол допроса|с приложением	39	yes	yes	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
5156	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса Ф.Г. Иванова	КРЕМЛЕВСКОЕ ДЕЛО	4562	strong	2	generic_attachment|interrogation_protocol	направляю|приложение|протокол допроса|с приложением	39	yes	yes	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
5159	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса Л.Б. Каменева	КРЕМЛЕВСКОЕ ДЕЛО	8903	strong	2	generic_attachment|interrogation_protocol	направляю|приложение|протокол допроса|с приложением	39	yes	yes	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
5161	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса Г.Б. Синани-Скалова	КРЕМЛЕВСКОЕ ДЕЛО	10994	strong	2	generic_attachment|interrogation_protocol	направляю|приложение|протокол допроса|с приложением	39	yes	yes	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
5172	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса Н.И. Бураго	КРЕМЛЕВСКОЕ ДЕЛО	3310	strong	2	generic_attachment|interrogation_protocol	направляю|приложение|протокол допроса|с приложением	39	yes	yes	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
5175	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса Е.К. Мухановой	КРЕМЛЕВСКОЕ ДЕЛО	4957	strong	2	generic_attachment|interrogation_protocol	направляю|приложение|протокол допроса|с приложением	39	yes	yes	no	no	no	no	no	no	package_split_before_chunking	explicit с приложением marker; align with blueprint header_body_attachment_block
