repo	command	commit	date	subject	path_hint	relevance
showtrials-discovery	git status --short			"?? data/perpetrator2004/diagnostics/perpetrator2004_full_mirror_apply_20260618-010512.tsv
?? data/perpetrator2004/diagnostics/perpetrator2004_mirror_diagnostics_20260618-010952.tsv
?? data/perpetrator2004/diagnostics/perpetrator2004_mirror_summary_20260618-010952.tsv
?? data/perpetrator2004/manifests/perpetrator2004_full_ingestion_manifest.normalized_20260617-235035.tsv
?? data/perpetrator2004/manifests/perpetrator2004_full_ingestion_manifest.normalized_20260618-004325.tsv
?? data/perpetrator200"		status
showtrials-discovery	git tag --list					no_matching_tags
showtrials-discovery	git log --all --name-status --date=iso	0f75e96f4a09401b8e6ff5d04a2b71290a20bb35	2026-06-18 00:54:33 -0300	fix: normalize perpetrator2004 manifest diagnostics	data/perpetrator2004/diagnostics/perpetrator2004_manifest_diagnostics_20260617-233139.tsv; data/perpetrator2004/diagnostics/perpetrator2004_manifest_diagnostics_20260618-000803.tsv; data/perpetrator2004/diagnostics/perpetrator2004_manifest_diagnostics_v2_20260617-235035.tsv; data/perpetrator2004/diagnostics/perpetrator2004_manifest_diagnostics_v2_20260618-004325.tsv; data/perpetrator2004/diagnostics/perpetrator2004_manifest_diagnostics_v2_20260618-005336.tsv; data/perpetrator2004/diagnostics/perpetrator2004_manifest_summary_20260617-233139.tsv; data/perpetrator2004/diagnostics/perpetrator2004_manifest_summary_20260618-000803.tsv; data/perpetrator2004/diagnostics/perpetrator2004_manifest_summary_v2_20260617-235035.tsv; data/perpetrator2004/diagnostics/perpetrator2004_manifest_summary_v2_20260618-004325.tsv; data/perpetrator2004/diagnostics/perpetrator2004_manifest_summary_v2_20260618-005336.tsv; data/perpetrator2004/manifests/perpetrator2004_full_ingestion_manifest.tsv; reports/perpetrator2004/perpetrator2004_full_ingestion_plan_report_20260617-231228.txt; reports/perpetrator2004/perpetrator2004_manifest_diagnostics_report_20260617-233139.txt; reports/perpetrator2004/perpetrator2004_manifest_diagnostics_report_20260618-000803.txt; reports/perpetrator2004/perpetrator2004_manifest_diagnostics_v2_report_20260617-235035.txt; reports/perpetrator2004/perpetrator2004_manifest_diagnostics_v2_report_20260618-004325.txt; reports/perpetrator2004/perpetrator2004_manifest_diagnostics_v2_report_20260618-005336.txt; scripts/perpetrator2004/build-perpetrator2004-manifest-v2.sh; scripts/perpetrator2004/diagnose-perpetrator2004-manifest-v2.sh	matched_subject_or_path
showtrials-discovery	git log --all --name-status --date=iso	47420ac0696660f5190436dc1571dec694df4534	2026-06-14 22:19:39 -0300	scripts: build combined process dossier texts	scripts/t-translation-assets/build-process-dossier-texts.py	matched_subject_or_path
showtrials-discovery	git log --all --name-status --date=iso	95c928827d293e029708479942dce5346569b84b	2026-06-13 11:05:37 -0300	docs: add consolidated project status after path normalization	docs/project-status/showtrials_discovery_status_20260613.md	matched_subject_or_path
showtrials-discovery	git log --all --name-status --date=iso	c849d26b42ff3258ead13825d0dad512c2fcda27	2026-06-13 10:34:58 -0300	feat: add translation asset diagnostics and source inventory	data/t-translation-assets/ezhov_parallel_documents.tsv; data/t-translation-assets/ezhov_parallel_search_corpus.tsv; data/t-translation-assets/precursor_perpetrator2004_links.tsv; reports/t-translation-assets/ezhov_parallel_extraction_report.txt; reports/t-translation-assets/precursor_perpetrator2004_diagnostics_report.txt; scripts/t-translation-assets/diagnose-precursor-html-sample.py; scripts/t-translation-assets/extract-ezhov-parallel-html.py; scripts/t-translation-assets/search-ezhov-assets.py	matched_subject_or_path
showtrials-discovery	git log --all --name-status --date=iso	b09ee5111825c73dba9ab56b3405453f5aa2b459	2026-06-13 00:57:35 -0300	diagnose: collect and index translation HTML assets	data/t-translation-assets/translation_html_documents.tsv; data/t-translation-assets/translation_html_fetch.tsv; data/t-translation-assets/translation_html_search_corpus.tsv; reports/t-translation-assets/translation_html_extraction_report.txt; reports/t-translation-assets/translation_html_fetch_report.txt; scripts/t-translation-assets/collect-translation-html-targets.py; scripts/t-translation-assets/extract-translation-html-text.py; scripts/t-translation-assets/search-translation-html-assets.py	matched_subject_or_path
showtrials-discovery	git log --all --name-status --date=iso	c49026ab89eda33e051f3603b3a8f0fb638f5e61	2026-06-13 00:07:21 -0300	diagnose: inventory translation html assets	data/t-translation-assets/translation_html_links.tsv; data/t-translation-assets/translation_html_pages.tsv; reports/t-translation-assets/translation_html_diagnostics_report.txt; scripts/t-translation-assets/diagnose-translation-html-targets.py	matched_subject_or_path
showtrials-discovery	git log --all --name-status --date=iso	2cf51da883ca0de96453141057c5c8f5c502aa14	2026-06-12 20:58:34 -0300	refactor: complete repository path normalization	data/r-governance/path-audit/showtrials_path_normalization_readiness.tsv; reports/r-governance/path-audit/showtrials_path_normalization_readiness_report.txt; scripts/d-structural-chunking/audit-showtrials-structural-samples-d2-1.py; scripts/d-structural-chunking/diagnose-showtrials-attachment-taxonomy-d3-1a.py; scripts/d-structural-chunking/diagnose-showtrials-attachment-taxonomy-refinement-d3-1b.py; scripts/d-structural-chunking/diagnose-showtrials-corpus-sizing-chunking-d1.py; scripts/d-structural-chunking/diagnose-showtrials-special-report-packages-d3-1.py; scripts/d-structural-chunking/diagnose-showtrials-structural-chunking-d2.py; scripts/d-structural-chunking/diagnose-showtrials-structural-samples-d2-2.py; scripts/d-structural-chunking/plan-showtrials-chunking-blueprint-v1.py; scripts/d-structural-chunking/plan-showtrials-chunking-blueprint-v1_1.py; scripts/d-structural-chunking/validate-showtrials-attachment-taxonomy-d3-1a.py; scripts/d-structural-chunking/validate-showtrials-attachment-taxonomy-refinement-d3-1b.py; scripts/d-structural-chunking/validate-showtrials-chunking-blueprint-v1.py; scripts/d-structural-chunking/validate-showtrials-chunking-blueprint-v1_1.py; scripts/d-structural-chunking/validate-showtrials-corpus-sizing-chunking-d1.py; scripts/d-structural-chunking/validate-showtrials-special-report-packages-d3-1.py; scripts/d-structural-chunking/validate-showtrials-structural-chunking-d2.py; scripts/e-semantic-layer/apply-showtrials-auto-person-aliases.py; scripts/e-semantic-layer/apply-showtrials-known-truncated-person-aliases.py; scripts/e-semantic-layer/apply-showtrials-person-alias-decisions.py; scripts/e-semantic-layer/diagnose-showtrials-entity-anomalies.py; scripts/e-semantic-layer/diagnose-showtrials-entity-cleanup.py; scripts/e-semantic-layer/diagnose-showtrials-entity-inventory.py; scripts/e-semantic-layer/diagnose-showtrials-semantic-baseline.sh; scripts/e-semantic-layer/diagnose-showtrials-semantic-layer.py; scripts/e-semantic-layer/diagnose-showtrials-tag-process-audit.py; scripts/e-semantic-layer/diagnose-showtrials-title-entities.py; scripts/e-semantic-layer/validate-showtrials-semantic-baseline.sh; scripts/lib/showtrials_paths.py	matched_subject_or_path
showtrials-discovery	git log --all --name-status --date=iso	a5624106231f325dfffc9442e2ac97c5146bb8fc	2026-06-12 01:28:04 -0300	refactor: normalize paths for semantic profiles and matrices	data/r-governance/path-audit/showtrials_path_normalization_readiness.tsv; reports/r-governance/path-audit/showtrials_path_normalization_readiness_report.txt; scripts/e-semantic-layer/build-showtrials-person-centrality.py; scripts/e-semantic-layer/build-showtrials-person-institution-profiles-v2.py; scripts/e-semantic-layer/build-showtrials-person-institution-profiles.py; scripts/e-semantic-layer/build-showtrials-person-organization-matrix.py; scripts/e-semantic-layer/validate-showtrials-person-centrality.py; scripts/e-semantic-layer/validate-showtrials-person-institution-profiles-v2.py; scripts/e-semantic-layer/validate-showtrials-person-organization-matrix.py; scripts/lib/showtrials_paths.py	matched_subject_or_path
