asset_doc_id	asset_group	language	sequence	title	text
ezhov_1939_en_001	ezhov_1939_interrogations	en	1	Ezhov interrogation 04.18 – 04.20.39	"Ezhov interrogation 04.18 – 04.20.39 According to Pavliukov, this is the 1st Ezhov confession in his file. QQ 519-520 & n. 481 p. 564. Summarized 520-521. 519-520 ""Question: You have been arrested as a traitor to the party and an enemy of the people. The investigation possesses sufficient facts to expose you completely at the first attempt to conceal your crimes. We propose that you not wait to be exposed but proceed to confessions of your black traitorous work against the party and Soviet power. Answer: It is hard for one such as I, who only lately enjoyed the party’s trust, to confess to betrayal and treason. But now that I am faced with answering before the investigation for my crimes, I wish to be thoroughly frank and truthful. I am not the person the party took me for. Hiding behind a mask of party loyalty, for many years I have deceived and been two-faced while conducting a ferocious hidden struggle against the party and the Soviet State."" Summary of other parts of Ezhov’s statement. ""Ezhov started the history of his ‘fall into sin’ in 1921, when he worked in Tartaria and under the influence of anarcho-syndicalist ideas supposedly joined the local group of the ‘Workers’ Opposition.’ In the following years, the period of inner-party discussions of the 1930s, he also supposedly expressed differences in his political views with the general line of the party. However, the investigators showed no interest in digging so deeply into the garbage-heap of history, and they did not permit Ezhov to deviate long from the basic theme."" Quotation: ""Question: What is the point of this expansive story about these or those ‘political waverings’ of yours? As a long-time agent of foreign intelligence services you must confess about your direct espionage work. Talk about that! Answer: All right, I will go directly to the moment when my espionage ties were formed."" Summary continues: ""Ezhov related that he was drawn into espionage work by his friend F.M. Konar*, who had long been a Polish agent. Konar learned political news from Ezhov and gave them to his bosses in Poland and on one occasion told Ezhov about this and proposed that he volunteer to begin working for the Poles. Since Ezhov had in fact already become an informant of Polish intelligence, since he had transmitted to them via Konar many significant party and state secrets, he supposedly had no other choice than to agree with this proposal. __________ * F.M. Konar – An assistant Commissar of Agriculture, he was among those convicted and executed in March 1933 for sabotage in agriculture at the height of the serious famine. Konar had also been a friend of the poet Osip Mandel’shtam, according to his daughter Nadezhda (Memoirs). ___________ The Poles supposedly shared a part of the intelligence received from Ezhov with their allies the Germans, and so after a time an offer of collaboration from the latter was also made. According to Ezhov Marshal A.I. Egorov, first assistant Commissar for Defense, acted as the middleman [between Ezhov and the Germans]. He met with Ezhov in the summer of 1937 and told him that he knew about the latter’s ties with the Poles, that he himself was a German spy who on orders from the German authorities had organized a group of conspirators in the Red Army, and that he had been given a directive to establish close working contact between his group and Ezhov. Ezhov agreed with this proposal and promised to protect Egorov’s men from arrest."" ______________________________ "
ezhov_1939_en_002	ezhov_1939_interrogations	en	2	Ezhov interrogation 04.23.39 (04.24.39)	"Ezhov interrogation 04.23.39 (04.24.39) Quotes are same as beginning and end of Ezhov conf. dated April 24, 1939 in Petrov & Iansen, 365-6 and Pavliukov, 522-523. Pavliukov says 10 pages in length. P&Ia cite same archive, different location, 4 pages in length. Pavliukov – no sign this confession was forced, or even asked about this (522). Petrov & Iansen, 365-6: ""I think it essential that I inform the investigation of a series of new facts concerning my moral-personal dissoluteness. I mean my longtime vice of homosexuality. This began in my early youth when I lived as an apprentice to a tailor. At about the age of 15 or 16 years I had a few instances of perverse sexual acts with other apprentices of my own age of the same tailor shop. This vice renewed itself in the old Tsarist army in frontline conditions. Aside from one chance contact with one of the solders of our company I had relations with a certain Filatov, my friend from Leningrad with whom we served in the same regiment. Our relations were ""mutual"", that is the ""female"" part was played first by one side, then by the other. Afterwards Filatov was killed at the front. In 1919 I was appointed commissar of the 2nd base of radio-telegraph formations. My secretary was a certain Antoshin. I know that in 1937 he was still in Moscow and was working somewhere as chief of a radio station. He is an engineer radio technician. In 1919 I had mutual homosexual relations with this same Antoshin. In 1924 I was working in Semiplatinsk [now the city of Semei, Kazakhstan – GF]. My old friend Dement’ev went there with me. On several occasions in 1924 I had homosexual relations with him in which only I played the active role. [Ezhov apparently means Dement’ev played the ""female"" role. – GF] In 1925 in Orenburg I established homosexual relations with a certain Boiarskii, at that time the chairman of the Kazakh oblast’ trade union council. As far as I know he is now working as the director of an artistic theater in Moscow. Our relations were mutual. At that time he and I had just arrived in Orenburg and were living in the same hotel. Our relations were shot-lived, until the arrival of his wife, who arrived quickly. In the same year 1925 the capital of Kazakhstan was transferred from Orenburg to Kzyl-Orda, whence I also went to work. Soon F.I. Goloshchekin arrived there as the secretary of the regional [Party] committee (he is now employed as a chief arbiter). He arrived as a bachelor, without a wife, and I was also living as a bachelor. Before my departure for Moscow (for about 2 months) I had de facto moved into his apartment and often spent the night there. I quickly established homosexual relations with him as well, and they continued off and on until my departure. As with the others, our relations were mutual. In 1938 I had two instances of homosexual activity with Dement’ev, with whom I had also had relations in 1924, as I stated above. These relations were in Moscow in the autumn of 1938 in my apartment, after I had already been dismissed from the post of Commissar of Internal Affairs. Dement’ev lived with me at that time about two months. A little later, also in 1938, there occurred two instances of homosexual activity between myself and Konstantinov. I have known Konstantinov since 1918 in the army. He worked with me before 1921. Since 1921 we hardly saw each other at all. In 1938 on my invitation he began to visit me often at my apartment and two or three times he was at my dacha. He came twice with his wife; the other visits were without wives. He often stayed the night with me. As I have said above, at that time he and I had two instances of homosexual relations. Our relations were mutual. I should also say that during one of his visits to my apartment with his wife I also had sexual relations with her. All of this was accompanied, as a rule, with heavy drinking. I give this information to the investigation as an additional detail characterizing my moral dissolution. April 24, 1939. N. Ezhov. _________________________ "
ezhov_1939_en_003	ezhov_1939_interrogations	en	3	Ezhov interrogation of 04.26.1939 (published separately)	Ezhov interrogation of 04.26.1939 (published separately) 
ezhov_1939_en_004	ezhov_1939_interrogations	en	4	Ezhov’s April 26 1939 confession belongs here (from Lubianka)	Ezhov’s April 26 1939 confession belongs here (from Lubianka) _______________________________ 
ezhov_1939_en_005	ezhov_1939_interrogations	en	5	Ezhov interrogation 04.30.39	Ezhov interrogation 04.30.39 
ezhov_1939_en_006	ezhov_1939_interrogations	en	6	Ezhov interrogation, Pavliukov 525-6 & n. 489 p. 564. Short Q from interrogation on 525-6.	"Ezhov interrogation, Pavliukov 525-6 & n. 489 p. 564. Short Q from interrogation on 525-6. Acc. to Pavliukov 526, Ezhov named 66 names of fellow conspirators in this one interrogation. Summary: ""The first stage of the investigation was completed on April 30, 1939. In the course of the interrogation that took place on that day Ezhov told about the method of recruiting his subordinates in the Cheka into the anti-Soviet conspiracy and about the basic direction of the sabotage work in the NKVD. This sabotage consisted in massive arrests without any basis, falsification of investigative materials, forgeries, and reprisals against undesirable elements."" Quotation (Pavliukov 525-6) ""All this was done in order to cause widespread dissatisfaction in the population with the leadership of the Party and the Soviet government and in that way to create the most favorable base for carrying out our conspiratorial plans."" _________________________ "
ezhov_1939_en_007	ezhov_1939_interrogations	en	7	Ezhov interrogation 05.05.1939	"Ezhov interrogation 05.05.1939 Pavliukov summarizes it 526. No QQ, no note. Summary: ""…at his interrogation of May 5 1939 Ezhov recounted the work of the ‘conspirators’ in the Commissariat of Foreign Affairs. Here at that same time took place the beginning of the large-scale purge (after the removal of M.M. Litvinov, the director of the division of foreign political affairs). Therefore the theme of subversive activity in the Commissariat of Foreign Affairs was especially timely in those days. Ezhov stated that the goal of this activity was the creation of conditions for the victory of Germany and Japan in the inevitable war with the USSR. Specifically, they undertook attempts to create disagreements between the Chinese government of Chiang Kai-shek and the Soviet authorities, for the purpose, in the last analysis, of facilitating Japanese seizure of the Soviet Far East. At the beginning of May 1939 confessions were obtained from several arrested NKVD employees concerning the fabrication, at Ezhov’s instruction, of the so-called mercury poisoning. Interrogated on this point Ezhov confirmed the fact of the falsification and explained that this initiative was undertaken with the goal of raising his authority even higher in the eyes of the country’s leadership."" ________________________ "
ezhov_1939_en_008	ezhov_1939_interrogations	en	8	Ezhov interrogation May 11 1939 by Kobulov	"Ezhov interrogation May 11 1939 by Kobulov Long quotes in Polianskii 222-226. Acc to Polianskii, this is where Kuz’min’s report of Dec. 12 1938 about Sholokhov and Ezhova is located. ""It is not altogether clear why the closeness of these persons to Ezhova [Ezhov’s wife – GF] appeared suspicious to you. Ezhova’s closeness to these people was suspicious insofar as Babel, for example, as I knew, had written almost nothing during the past few years, circulating all the time in a suspicious Trotskyist milieu and, besides that, had close ties to a series of French writers who could by no means be considered among those who were sympathetic to the Soviet Union. Not to mention the fact that Babel demonstratively refused to write off his wife, who had been living in Paris for many years, but preferred to go to see her. Ezhova had a special friendship with Babel. I suspect – in truth, just on the basis of my personal observations – that there must have been ties of espionage between my wife and Babel. On what factual basis do you make this statement? I know from my wife’s own words that she had been acquainted with Babel since 1925. She always insisted that she had never had intimate relations with him. Their ties were limited to her desire to maintain an acquaintance with a talented, singular writer. Babel visited us at home a few times at her invitation, where, of course, I also made his acquaintance. I observed that in his relationship with my wife Babel was demanding and rude. I saw that my wife was simply afraid of him. I understood that this was not a question of my wife’s literary interests, but of something more serious. I excluded any intimate relations because I thought that Babel would hardly treat my wife with such rudeness when he knew what social position I occupied. To my questions to my wife whether she had the same kind of relations with Babel as she had with Kol’tsov she either remained silent or weakly denied it. I always supposed that with this indefinite answer she simply wished to hide from me her espionage ties with Babel, evidently not wishing to confide the numerous channels of this kind of relationship with me… What you have said about Babel is not a sufficient basis for suspecting him of taking part in espionage for England. Aren’t you just slandering Babel? I am not slandering him. Ezhova definitely never said that she was linked with Babel in her work for English intelligence. In this case I am only expressing that supposition, based upon my observation of the nature of the mutual relations between my wife and the writer Babel. What do you think in general about, shall we say, Ezhova’s friendship with cultural figures? This whole specific milieu of people who were tied with the interests of the Soviet people with very thin threads, could not fail to arouse my suspicions. What can you tell us about her relations with the writer Sholokhov? I seem to recall that, I think last spring, my wife told me that she had meet Sholokhov, who had come to Moscow and dropped in at the journal ""SSSR na stroike"". There was nothing surprising in this, Ezhova always tried to meet writers and never missed an opportunity to do so. I was very well informed about this. Good. And what did you do when you found out about the intimate relations between Ezhova and Sholokhov? I did not know anything about such relations; this is the first time I have heard about them. Don’t lie, Ezhov. In June and August of last year upon your instructions Alekhin arranged to monitor the letter ""N"" at the phone number of the Hotel ""Nationale"", where Sholokhov was staying. ____________ For Alekhin see http://www.memo.ru/history/NKVD/kto/biogr/gb13.htm ____________ I issued no such instructions. Ezhova may have showed up under the letter ""N"" solely by chance. But you did know that the intimate relations of Sholokhov with your wife were recorded. Here, take a look at this. [Here reads Kuz’min report of Dec. 12 1938, acc. to Polianskii 224-5] Do you admit that a few days after you received the transcript you brought it home and showed the document to your wife, and then berated her for betraying you? No such event happened. No one ever gave me this transcript of the intimate relations between Ezhov and Sholokhov, and in general I never showed my wife documents from my work and never told her what they contained. Of course you can deny this, Ezhov. But we have the confessions of Glikina, Ezhova’s close friend and a German spy, who is now arrested and is under investigation. Glikina confesses that Ezhova was beaten by you and complained to her and told her about everything. Therefore let me remind you that lying will not help you!"" _____________ The following short extract from Ezhov's interrogation-confession of May 11, 1939 is printed in Viktor Fradkin, Delo Kol'tsova. Moscow: Vagrius / Mezhdunarodnyi Fond ""Demokratiia"", 2002. Published under the auspices of the ""Memorial"" society, there is every reason to believe that the documents reproduced in this volume are genuine. Question: Besides Zinaida Glikina, whom you have already named, was anyone else connected with your wife Ezhova E.S. [Evgeniia Solomonovna - GF] in espionage work? Answer: I can only reply with more or less precise suppositions. After the journalist M. Kol'tsov arrived from Spain his friendship with my wife grew much stronger. This friendship was so close that my wife even visited him in the hospital when he was ill. Kol'tsov also worked in the commission -- or committee -- on foreign literature, that is, where Glikina also worked and, as far as I know, Kol'tsov obtained this job for Glikina upon Ezhova's recommendation. I became interested in the reasons for my wife's closeness with Kol'tsov and once asked her about this. My wife at first put me off with general phrases, but then said that this closeness was connected with her work. I asked her, with which work, the literary or the other, and she answered: ""With both the first and the second."" I understood that Ezhova was connected with Kol'tsov in her espionage work for England. _____________________ "
ezhov_1939_en_009	ezhov_1939_interrogations	en	9	Ezhov interrogation 05.17.39	"Ezhov interrogation 05.17.39 Interrogation re: murder of Slutsky, organized by Ezhov. Pavliukov 527. No QQ, no note. See Pavliukov 531-2 on Frinovskii’s testimony at Ezhov’s trial on February 3, 1940, where Frinovskii discussed Slutsky’s murder. Summary: ""The interrogation of May 17 1939 was devoted to the circumstances surrounding the death of the former head of the Foreign division of the GUGB of the NKVD M. M. Slutsky. Ezhov informed us that the murder of Slutskii was organized according to his instructions, and was done because of the feat that Slutsky, whose arrest had become inevitable, might reveal during his interrogation the facts he knew about the criminal activity of the conspirators. "" _______________________ "
ezhov_1939_en_010	ezhov_1939_interrogations	en	10	Ezhov interrogation 06.16.39 by Rodos, selections – Polianskii 230-233	"Ezhov interrogation 06.16.39 by Rodos, selections – Polianskii 230-233 ""Do you confirm Kosior’s confessions about your collaboration in working for Polish intelligence? Where, when and what secret information did you transmit to Kosior, and whom else did you recruit for this work?"" … Perhaps you did not know Radek and Piatakov well and did not receive any instructions from Trotsky through them? I never received any instructions from Trotsky from anybody. I knew Radek very poorly, I met him at Piatakov’s apartment a few times, but that was about ten years ago! Were you friends with Piatakov? Never. Mar'iasin, the president of the Gosbank, introduced us. We would get together for a drinking bout sometimes at his place, sometimes at Piatakov’s. And then I always got angry with Piatakov. All right, then. When was this? In 1930 or 1931, I can’t remember now. And what did you do with him? When he was drunk Piatakov often played the hooligan, made fun of those present. Once I was sitting next to him at the table. Piatakov quietly stuck me with a pin and then pretended that it was not he who had done it. A little while later he did it again even harder. I did not hold back and hit Piatakov in the face and split his lip. That evening I went away angry with him and never made it up with him and never had any doings with him at all. … You lie well, you bastard. Only I am not Piatakov, I won’t stick you with a pin, but I will force you to tell the truth. … I’ll tell you everything, don’t beat me. My guilt before the party and the people is so great that it’s senseless to justify myself."" _________________________ "
