person	role	role_class	document_count	person_total_documents	share_of_person_documents
Ежов	секретарь	office_position	436	466	0.9356
Сталин	секретарь	office_position	426	520	0.8192
Сталин	троцкист	political_label	418	520	0.8038
Ежов	комиссар	office_position	408	466	0.8755
Сталин	член	generic_membership	404	520	0.7769
Ежов	троцкист	political_label	402	466	0.8627
Ежов	член	generic_membership	391	466	0.8391
Сталин	комиссар	office_position	389	520	0.7481
Сталин	правый	political_label	234	520	0.45
Сталин	руководитель	office_position	219	520	0.4212
Сталин	начальник	office_position	210	520	0.4038
Ежов	руководитель	office_position	208	466	0.4464
Ежов	начальник	office_position	206	466	0.4421
Сталин	нарком	office_position	205	520	0.3942
Ежов	нарком	office_position	203	466	0.4356
Ежов	правый	political_label	195	466	0.4185
Г.Г. Ягода	секретарь	office_position	149	158	0.943
Г.Г. Ягода	комиссар	office_position	145	158	0.9177
Сталин	директор	office_position	145	520	0.2788
Г.Г. Ягода	троцкист	political_label	142	158	0.8987
Ежов	директор	office_position	142	466	0.3047
Сталин	председатель	office_position	139	520	0.2673
Ежов	заместитель	office_position	138	466	0.2961
Ежов	председатель	office_position	138	466	0.2961
Г.Г. Ягода	член	generic_membership	132	158	0.8354
Сталин	заместитель	office_position	126	520	0.2423
Ежов	сотрудник	generic_staff	105	466	0.2253
Сталин	обвиняемый	trial_role	103	520	0.1981
Сталин	кандидат	generic_membership	98	520	0.1885
Сталин	представитель	generic_representative	97	520	0.1865
Ежов	представитель	generic_representative	95	466	0.2039
Ежов	обвиняемый	trial_role	88	466	0.1888
Сталин	сотрудник	generic_staff	87	520	0.1673
Сталин	агент	accusatory_or_intelligence_label	82	520	0.1577
Ежов	кандидат	generic_membership	75	466	0.1609
Г.Г. Ягода	руководитель	office_position	69	158	0.4367
Агранов	секретарь	office_position	67	74	0.9054
Сталин	редактор	office_position	65	520	0.125
Г.Г. Ягода	нарком	office_position	61	158	0.3861
Ежов	агент	accusatory_or_intelligence_label	60	466	0.1288
Ежов	редактор	office_position	56	466	0.1202
Агранов	комиссар	office_position	55	74	0.7432
Агранов	член	generic_membership	54	74	0.7297
Г.Г. Ягода	правый	political_label	51	158	0.3228
Бухарин	правый	political_label	49	73	0.6712
Бухарин	троцкист	political_label	45	73	0.6164
Г.Г. Ягода	начальник	office_position	44	158	0.2785
Бухарин	член	generic_membership	43	73	0.589
Агранов	троцкист	political_label	42	74	0.5676
Г.Г. Ягода	директор	office_position	42	158	0.2658
Г.Г. Ягода	председатель	office_position	39	158	0.2468
Зиновьев	член	generic_membership	37	50	0.74
Сталин	свидетель	trial_role	34	520	0.0654
Г.Г. Ягода	сотрудник	generic_staff	33	158	0.2089
Г.Е. Прокофьева	комиссар	office_position	33	33	1.0
Г.Е. Прокофьева	секретарь	office_position	33	33	1.0
Г.Е. Прокофьева	троцкист	political_label	33	33	1.0
Г.Е. Прокофьева	член	generic_membership	32	33	0.9697
Г.Г. Ягода	кандидат	generic_membership	31	158	0.1962
Ольберг	член	generic_membership	31	94	0.3298
Агранов	правый	political_label	29	74	0.3919
Зиновьев	секретарь	office_position	29	50	0.58
Зиновьев	правый	political_label	28	50	0.56
Зиновьев	троцкист	political_label	28	50	0.56
Ольберг	троцкист	political_label	27	94	0.2872
Г.Г. Ягода	обвиняемый	trial_role	26	158	0.1646
Г.Г. Ягода	агент	accusatory_or_intelligence_label	25	158	0.1582
Сталин	вредитель	accusatory_label	25	520	0.0481
Г.И. Сафарова	троцкист	political_label	24	32	0.75
Ежов	следователь	office_position	24	466	0.0515
Бухарин	секретарь	office_position	23	73	0.3151
Г.Г. Ягода	представитель	generic_representative	23	158	0.1456
Ежов	вредитель	accusatory_label	23	466	0.0494
Ежов	посол	office_position	23	466	0.0494
Ежов	свидетель	trial_role	23	466	0.0494
Сталин	следователь	office_position	23	520	0.0442
Радек	троцкист	political_label	21	25	0.84
Сталин	прокурор	office_position	21	520	0.0404
Агранов	нарком	office_position	20	74	0.2703
Ежов	прокурор	office_position	20	466	0.0429
Л.В. Николаева	нарком	office_position	19	43	0.4419
Пятаков	троцкист	political_label	19	22	0.8636
Агранов	сотрудник	generic_staff	18	74	0.2432
Агранов	руководитель	office_position	18	74	0.2432
Бухарин	руководитель	office_position	18	73	0.2466
Г.Г. Ягода	заместитель	office_position	18	158	0.1139
Зиновьев	комиссар	office_position	18	50	0.36
Зиновьев	руководитель	office_position	18	50	0.36
Радек	член	generic_membership	18	25	0.72
Сталин	адвокат	office_position	18	520	0.0346
Бухарин	агент	accusatory_or_intelligence_label	17	73	0.2329
Каменев	член	generic_membership	17	26	0.6538
Пятаков	комиссар	office_position	17	22	0.7727
Сталин	полпред	office_position	17	520	0.0327
Сталин	посол	office_position	17	520	0.0327
Бухарин	нарком	office_position	16	73	0.2192
Г.Е. Прокофьева	руководитель	office_position	16	33	0.4848
Пятаков	член	generic_membership	16	22	0.7273
Пятаков	нарком	office_position	16	22	0.7273
Пятаков	секретарь	office_position	16	22	0.7273
Рыков	правый	political_label	16	18	0.8889
Сокольников	троцкист	political_label	16	18	0.8889
Агранов	начальник	office_position	15	74	0.2027
Бухарин	обвиняемый	trial_role	15	73	0.2055
Ежов	полпред	office_position	15	466	0.0322
Радек	секретарь	office_position	15	25	0.6
Радек	правый	political_label	15	25	0.6
Рыков	троцкист	political_label	15	18	0.8333
Агранов	директор	office_position	14	74	0.1892
Агранов	заместитель	office_position	14	74	0.1892
