document_type	documents	chars	dominant_recommended_unit	dominant_unit_docs	high_confidence_docs	medium_confidence_docs	low_confidence_docs	qa_docs	speaker_turn_docs	numbered_docs	attachment_docs	avg_paragraphs	avg_lines
special_report	526	9604474	question_answer_blocks	486	486	13	27	486	0	0	94	1.0	1.0
interrogation_protocol	982	7301792	question_answer_blocks	916	916	0	66	916	0	0	4	1.0	1.0
session_transcript	51	4934530	question_answer_blocks	46	46	1	4	46	0	0	5	1.0	1.0
letter	256	1481811	whole_or_light_paragraph_chunks	177	75	4	177	75	0	0	13	1.0	1.0
statement	78	977750	whole_or_light_paragraph_chunks	44	31	3	44	31	0	0	7	1.0	1.0
biographical_article	2	438269	question_answer_blocks	2	2	0	0	2	0	0	2	1.0	1.0
memo_note	40	412107	whole_or_light_paragraph_chunks	22	17	1	22	17	0	0	4	1.0	1.0
conversation_recording	34	360525	whole_or_light_paragraph_chunks	23	10	1	23	10	0	0	1	1.0	1.0
testimony	48	336308	question_answer_blocks	33	33	0	15	33	0	0	0	1.0	1.0
confrontation_protocol	57	318436	question_answer_blocks	57	57	0	0	57	0	0	0	1.0	1.0
list	16	250232	question_answer_blocks	9	9	6	1	9	0	0	13	1.0	1.0
indictment	5	170448	question_answer_blocks	4	4	0	1	4	0	0	0	1.0	1.0
press_summary	4	159278	whole_or_light_paragraph_chunks	2	2	0	2	2	0	0	0	1.0	1.0
administrative_report	16	97861	whole_or_light_paragraph_chunks	12	2	2	12	2	0	0	2	1.0	1.0
reference_note	6	91263	header_body_attachments	3	3	3	0	3	0	0	5	1.0	1.0
draft_project	4	69908	question_answer_blocks	2	2	1	1	2	0	0	1	1.0	1.0
explanation	4	43399	whole_or_light_paragraph_chunks	3	1	0	3	1	0	0	1	1.0	1.0
speech	2	41779	whole_or_light_paragraph_chunks	1	1	0	1	1	0	0	0	1.0	1.0
program	1	32779	question_answer_blocks	1	1	0	0	1	0	0	0	1.0	1.0
verdict_or_sentence	3	30263	question_answer_blocks	2	2	0	1	2	0	0	0	1.0	1.0
brochure	1	29330	question_answer_blocks	1	1	0	0	1	0	0	0	1.0	1.0
telegram	15	27564	whole_or_light_paragraph_chunks	12	3	0	12	3	0	0	0	1.0	1.0
plan_instruction	3	26029	whole_or_light_paragraph_chunks	3	0	0	3	0	0	0	0	1.0	1.0
autobiography	1	18165	whole_or_light_paragraph_chunks	1	0	0	1	0	0	0	0	1.0	1.0
plea_pardon	2	17747	whole_or_light_paragraph_chunks	2	0	0	2	0	0	0	0	1.0	1.0
questionnaire_response	2	16713	question_answer_blocks	2	2	0	0	2	0	0	0	1.0	1.0
correspondence	2	15848	whole_or_light_paragraph_chunks	1	1	0	1	1	0	0	0	1.0	1.0
article	2	15684	whole_or_light_paragraph_chunks	1	1	0	1	1	0	0	1	1.0	1.0
summary	7	14715	whole_or_light_paragraph_chunks	6	1	0	6	1	0	0	0	1.0	1.0
interrogation_extract	1	14237	question_answer_blocks	1	1	0	0	1	0	0	0	1.0	1.0
decree_resolution	3	9970	whole_or_light_paragraph_chunks	2	1	0	2	1	0	0	0	1.0	1.0
poem	1	8927	whole_or_light_paragraph_chunks	1	0	0	1	0	0	0	0	1.0	1.0
medical_act	1	6240	question_answer_blocks	1	1	0	0	1	0	0	0	1.0	1.0
data_extract	2	3202	whole_or_light_paragraph_chunks	2	0	0	2	0	0	0	0	1.0	1.0
search_protocol	1	2204	header_body_attachments	1	0	1	0	0	0	0	1	1.0	1.0
