level	item_id	field	problem	value	line_no
ERROR	P2004-0001	__row__	too_few_fields_expected_8_got_6	P2004-0001|Lenin.htm|http://perpetrator2004.narod.ru/Lenin.htm|Ленин|yes|no	2
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/Lenin.htm	3
ERROR	P2004-0002	__row__	too_few_fields_expected_8_got_6	P2004-0002|Kirov_Links.htm|http://perpetrator2004.narod.ru/Kirov_Links.htm|Убийство Кирова|yes|no	4
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/Kirov_Links.htm	5
ERROR	P2004-0003	__row__	too_few_fields_expected_8_got_6	P2004-0003|documents/Yezhov/Yezhov.htm|http://perpetrator2004.narod.ru/documents/Yezhov/Yezhov.htm|Ежов|yes|no	6
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/documents/Yezhov/Yezhov.htm	7
ERROR	P2004-0004	__row__	too_few_fields_expected_8_got_6	P2004-0004|Yagoda_Links.htm|http://perpetrator2004.narod.ru/Yagoda_Links.htm|Ягода|yes|no	8
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/Yagoda_Links.htm	9
ERROR	P2004-0005	__row__	too_few_fields_expected_8_got_6	P2004-0005|Show_Trials_Links.htm|http://perpetrator2004.narod.ru/Show_Trials_Links.htm|Московские показательные процессы|yes|no	10
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/Show_Trials_Links.htm	11
ERROR	P2004-0006	__row__	too_few_fields_expected_8_got_6	P2004-0006|Kremlin_Affair.htm|http://perpetrator2004.narod.ru/Kremlin_Affair.htm|Кремлевское дело|yes|no	12
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/Kremlin_Affair.htm	13
ERROR	P2004-0007	__row__	too_few_fields_expected_8_got_6	P2004-0007|Bukharin.htm|http://perpetrator2004.narod.ru/Bukharin.htm|Бухарин|yes|no	14
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/Bukharin.htm	15
ERROR	P2004-0008	__row__	too_few_fields_expected_8_got_6	P2004-0008|Tukhachevsky.htm|http://perpetrator2004.narod.ru/Tukhachevsky.htm|Дело Тухачевского|yes|no	16
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/Tukhachevsky.htm	17
ERROR	P2004-0009	__row__	too_few_fields_expected_8_got_6	P2004-0009|Great_Terror.htm|http://perpetrator2004.narod.ru/Great_Terror.htm|Большой террор|yes|no	18
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/Great_Terror.htm	19
ERROR	P2004-0010	__row__	too_few_fields_expected_8_got_6	P2004-0010|DoctorsPlot.htm|http://perpetrator2004.narod.ru/DoctorsPlot.htm|Дело врачей|yes|no	20
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/DoctorsPlot.htm	21
ERROR	P2004-0011	__row__	too_few_fields_expected_8_got_6	P2004-0011|Leningrad_Affair.htm|http://perpetrator2004.narod.ru/Leningrad_Affair.htm|Ленинградское дело|yes|no	22
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/Leningrad_Affair.htm	23
ERROR	P2004-0012	__row__	too_few_fields_expected_8_got_6	P2004-0012|Khrushchev.htm|http://perpetrator2004.narod.ru/Khrushchev.htm|Хрущев|yes|no	24
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/Khrushchev.htm	25
ERROR	P2004-0013	__row__	too_few_fields_expected_8_got_6	P2004-0013|Books.htm|http://perpetrator2004.narod.ru/Books.htm|Книги|yes|no	26
ERROR	-	__row__	too_few_fields_expected_8_got_3	|internal|data/perpetrator2004/raw/mirror/Books.htm	27
