document_type	documents	chars	words	avg_chars	median_chars	p90_chars	p95_chars	p99_chars	max_chars	small_docs	medium_docs	large_docs	very_large_docs	whole_document_likely_ok	light_chunking_or_two_chunks	chunking_required	structural_chunking_required	estimated_chunks	estimated_nmt_ru_en_usd
special_report	526	9604474	1398144	18259.46	14729	34034	42177	67013	179437	19	93	348	66	49	63	348	66	3266	192.09
interrogation_protocol	982	7301792	1076347	7435.63	5406	16424	20886	33174	64769	168	506	296	12	411	263	296	12	2934	146.04
session_transcript	51	4934530	744642	96755.49	109501	167889	217431	298447	298447	1	3	10	37	2	2	10	37	1667	98.69
letter	256	1481811	227241	5788.32	2883	13337	21022	35804	58553	95	108	47	6	168	35	47	6	634	29.64
statement	78	977750	146268	12535.26	5205	18854	35162	152954	195887	13	38	22	5	32	19	22	5	344	19.55
biographical_article	2	438269	63665	219134.5	219134	250227	250227	250227	250227	0	0	0	2	0	0	0	2	126	8.77
memo_note	40	412107	58956	10302.67	4580	16888	23239	152053	152053	11	16	11	2	20	7	11	2	148	8.24
conversation_recording	34	360525	60959	10603.68	7519	19560	20069	48430	48430	1	17	15	1	6	12	15	1	136	7.21
testimony	48	336308	49510	7006.42	4561	11452	19123	54103	54103	13	20	13	2	23	10	13	2	129	6.73
confrontation_protocol	57	318436	48922	5586.6	2053	8317	26931	42832	53908	24	25	5	3	46	3	5	3	130	6.37
list	16	250232	35613	15639.5	7482	39800	39800	54365	54365	2	7	4	3	4	5	4	3	149	5.00
indictment	5	170448	23299	34089.6	31044	54006	54006	54006	54006	0	0	3	2	0	0	3	2	60	3.41
press_summary	4	159278	23800	39819.5	38354	48440	48440	48440	48440	0	0	0	4	0	0	0	4	52	3.19
administrative_report	16	97861	13709	6116.31	2678	18715	18715	26777	26777	6	6	4	0	12	0	4	0	37	1.96
reference_note	6	91263	12810	15210.5	8463	20632	49353	49353	49353	1	1	3	1	2	0	3	1	32	1.83
draft_project	4	69908	9711	17477.0	18161	27158	27158	27158	27158	0	1	3	0	0	1	3	0	26	1.40
explanation	4	43399	5859	10849.75	2136	37407	37407	37407	37407	1	2	0	1	3	0	0	1	15	0.87
speech	2	41779	6606	20889.5	20889	37283	37283	37283	37283	0	1	0	1	1	0	0	1	14	0.84
program	1	32779	4354	32779.0	32779	32779	32779	32779	32779	0	0	0	1	0	0	0	1	11	0.66
verdict_or_sentence	3	30263	4034	10087.67	11628	11899	11899	11899	11899	0	1	2	0	0	1	2	0	11	0.61
brochure	1	29330	4072	29330.0	29330	29330	29330	29330	29330	0	0	1	0	0	0	1	0	9	0.59
telegram	15	27564	4043	1837.6	1348	5010	5010	5532	5532	11	4	0	0	13	2	0	0	21	0.55
plan_instruction	3	26029	3487	8676.33	11419	11961	11961	11961	11961	0	1	2	0	1	0	2	0	11	0.52
autobiography	1	18165	2651	18165.0	18165	18165	18165	18165	18165	0	0	1	0	0	0	1	0	6	0.36
plea_pardon	2	17747	2571	8873.5	8873	11712	11712	11712	11712	0	1	1	0	0	1	1	0	7	0.35
questionnaire_response	2	16713	2634	8356.5	8356	8710	8710	8710	8710	0	0	2	0	0	0	2	0	8	0.33
correspondence	2	15848	2507	7924.0	7924	7996	7996	7996	7996	0	2	0	0	0	2	0	0	6	0.32
article	2	15684	2166	7842.0	7842	11535	11535	11535	11535	0	1	1	0	1	0	1	0	6	0.31
summary	7	14715	2664	2102.14	2107	2489	2739	2739	2739	3	4	0	0	7	0	0	0	7	0.29
interrogation_extract	1	14237	2104	14237.0	14237	14237	14237	14237	14237	0	0	1	0	0	0	1	0	5	0.28
decree_resolution	3	9970	1312	3323.33	1019	8108	8108	8108	8108	2	0	1	0	2	0	1	0	5	0.20
poem	1	8927	1316	8927.0	8927	8927	8927	8927	8927	0	0	1	0	0	0	1	0	5	0.18
medical_act	1	6240	835	6240.0	6240	6240	6240	6240	6240	0	1	0	0	0	1	0	0	3	0.12
data_extract	2	3202	505	1601.0	1601	1742	1742	1742	1742	2	0	0	0	2	0	0	0	2	0.06
search_protocol	1	2204	328	2204.0	2204	2204	2204	2204	2204	0	1	0	0	1	0	0	0	1	0.04
