document_post_id	document_type	primary_process	document_title	content_chars	paragraphs	lines	recommended_unit	confidence	question_answer_markers	speaker_turn_markers	date_headers	numbered_points	signature_markers	attachment_markers	salutation_markers	list_density
2644	session_transcript	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ЗАСЕДАНИЕ 15 ЯНВАРЯ 1935 г.	298447	1	1	question_answer_blocks	high	102	0	42	0	5	3	3	1
2618	session_transcript	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	ЗАСЕДАНИЕ 28 ДЕКАБРЯ 1934 Г.	262901	1	1	question_answer_blocks	high	70	0	22	0	15	0	2	1
9366	biographical_article	СТАТЬИ	Валентин Ольберг	250227	1	1	question_answer_blocks	high	43	0	137	0	6	3	2	1
2645	session_transcript	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ЗАСЕДАНИЕ 16 ЯНВАРЯ 1935 г.	217431	1	1	question_answer_blocks	high	77	0	18	0	1	2	1	1
2539	session_transcript	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	28 ЯНВАРЯ – ДНЕВНОЕ И ВЕЧЕРНЕЕ ЗАСЕДАНИЯ	203751	1	1	question_answer_blocks	high	57	0	4	0	6	1	16	0
8956	session_transcript	ПРОЦЕСС 2-12 МАРТА 1938 г.	Утреннее заседание февральско-мартовского пленума ЦК ВКП(б) 1937 г. (Бухарин и Рыков)	197980	1	1	question_answer_blocks	high	67	0	6	0	1	0	3	1
5855	statement	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	Заявление П.Ф. Сапожникова о деятельности организации правых	195887	1	1	question_answer_blocks	high	26	0	4	0	0	0	0	1
9470	biographical_article	СТАТЬИ	Георгий Борисович Синани-Скалов	188042	1	1	question_answer_blocks	high	50	0	76	0	5	4	12	1
7995	special_report	ПРОЦЕСС 2-12 МАРТА 1938 г.	Спецсообщение Н.И. Ежова И.В. Сталину с приложением тюремных записок В.В. Кузьмина	179437	1	1	question_answer_blocks	high	18	0	13	0	0	1	4	1
4811	session_transcript	КРЕМЛЕВСКОЕ ДЕЛО	Черновой (неправленый) вариант стенограммы вечернего заседания июньского пленума ЦК ВКП(б) 1935 г.	167889	1	1	question_answer_blocks	high	61	0	14	0	3	3	24	1
